"Assigned_Breach_Number",Date_Reported_To_OCA,Organization_Name,"Breach_Type_Description","Breach_Occur_at_the_Reporting_Entity?","MA_Residents_Affected",SSN_Breached,"Account_Number_Breached","Drivers_Licenses_Breached","Credit_Debit_Numbers_Breached","Provided_Credit_Monitoring","Data_Encrypted","Mobile_Device_Lost_Stolen"
10298,1/9/2017,"LightYear Dealer Technologies,LLC d/b/a DealerBuilt",Electronic,Yes,42,Yes,Yes,Yes,Yes,Yes,,
10299,1/9/2017,"Stax, Inc.",Electronic,Yes,45,Yes,,,,Yes,,
10301,1/9/2017,"Safari, Ltd.",Electronic,Yes,3,,,,Yes,,,
10302,1/10/2017,St. Mary's Credit Union,Electronic,,1,,,,Yes,,,
10303,1/10/2017,Eagle Bank,Electronic,,1,,,,Yes,,,
10304,1/10/2017,"The Vanguard Group, Inc.",Paper,,1,,Yes,,,,,
10305,1/10/2017,Haverford College,Electronic,Yes,5,Yes,,,,Yes,,
10300,1/10/2017,Legendary Entertainment,Electronic,Yes,1,Yes,,,,Yes,,
10307,1/11/2017,Santander,Paper,Yes,6,,Yes,,,Yes,,
10308,1/11/2017,"American Express Travel RelatedServices, Inc.",Electronic,,3,,,,Yes,,,
10309,1/11/2017,"Town of Wellesley SchoolDepartment",Paper,Yes,4,Yes,Yes,,,,,
10310,1/11/2017,St. Mary's Credit Union,Electronic,,1,,,,Yes,,,
10311,1/11/2017,St. Mary's Credit Union,Electronic,,3,,,,Yes,,,
10312,1/11/2017,Eagle Bank,Electronic,,1,,,,Yes,,,
10547,1/11/2017,The Village Bank,Electronic,,3,,,,Yes,,,
10548,1/11/2017,The Village Bank,Electronic,,2,,,,Yes,,,
10549,1/12/2017,The Village Bank,Electronic,,8,,,,Yes,,,
10313,1/12/2017,"The Vanguard Group, Inc.",Paper,Yes,1,Yes,Yes,,,Yes,,
10314,1/12/2017,"Spiraledge, Inc.",Electronic,Yes,13349,,,,Yes,,,
10315,1/12/2017,Mutual One Bank,Electronic,,1,,,,Yes,,,
10316,1/13/2017,Watertown Savings Bank,Electronic,,8,,,,Yes,Yes,,
10317,1/13/2017,Watertown Savings Bank,Electronic,,1,,,,Yes,Yes,,
10318,1/13/2017,Simmons College,Electronic,Yes,4,Yes,Yes,,,Yes,,
10320,1/13/2017,Rockland Trust Company,Paper,Yes,1,,Yes,,,Yes,,
10321,1/13/2017,Rockland Trust Company,Paper,Yes,2,,Yes,,,Yes,,
10322,1/16/2017,"American Express Travel RelatedServices Company, Inc.",Electronic,,1,,,,Yes,,,
10319,1/16/2017,"American Express Travel RelatedServices, Inc.",Electronic,,1,,,,Yes,,,
10324,1/17/2017,"American Express Travel RelatedServices, Inc.",Electronic,,20,,,,Yes,Yes,,
10325,1/17/2017,"American Express Travel RelatedServices, Inc.",Electronic,,2,,,,Yes,,,
10326,1/17/2017,Watertown Savings Bank,Electronic,,1,,,,Yes,Yes,,
10327,1/17/2017,"Chanel, Inc.",Paper,Yes,2,Yes,,,,Yes,,
10328,1/17/2017,"Intuit, Inc",Electronic,Yes,2,Yes,Yes,Yes,,Yes,,
10329,1/17/2017,"Commonwealth ofMassachusetts- Department ofRevenue",Electronic,Yes,2,Yes,,,,,,
10330,1/17/2017,Cape Cod Cooperative Bank,Electronic,,232,,,,Yes,,,
10331,1/18/2017,"American Express Travel RelatedServices Company, Inc.",Electronic,,3,,,,Yes,,,
10332,1/18/2017,"CCC Restaurant Enterprises,LCC",Electronic,Yes,1,,,,Yes,,,
10333,1/18/2017,Mutual One Bank,Electronic,,2,,,,Yes,,,
10334,1/19/2017,Stark Investments,Electronic,Yes,7,Yes,Yes,,,,,
10335,1/19/2017,"CoPilot Provider SupportServices",Electronic,Yes,5151,Yes,,,,Yes,,
10336,1/19/2017,Eagle Bank,Electronic,,2,,,,Yes,,,
10337,1/20/2017,Hemenway & Barnes LLP,Electronic,,230,Yes,Yes,,,,,
10338,1/20/2017,"Commonwealth of Massachusetts- Department of Youth Services",Paper,Yes,427,Yes,,,,,,
10339,1/20/2017,Savers Bank,Electronic,,1,,,,Yes,,,
10340,1/20/2017,Savers Bank,Electronic,,5,,,,Yes,,,
10341,1/20/2017,Savers Bank,Electronic,,1,,,,Yes,,,
10344,1/20/2017,"MBA Consulting Services, Inc.",Electronic,Yes,8,Yes,,,,Yes,,
10345,1/20/2017,Transamerica,Electronic,Yes,255,Yes,,,,Yes,,
10346,1/20/2017,Cenduit LLC,Electronic,Yes,4,Yes,,,,Yes,,
10347,1/20/2017,Dixon Highes Goodman LLP,Electronic,Yes,1,Yes,Yes,Yes,,Yes,,
10352,1/23/2017,"Accolade, Inc.",Electronic,Yes,3,Yes,,,,Yes,,
10422,1/23/2017,"Commonwealth ofMassachusetts-Department ofRevenue",Electronic,Yes,2,Yes,,,,,,
10423,1/23/2017,Belmont Savings Bank,Paper,Yes,1,,Yes,,,,,
10424,1/23/2017,Bank of America,Paper,Yes,2,Yes,,,,Yes,,
10425,1/23/2017,MBA Consulting Services,Electronic,Yes,8,Yes,,,,Yes,,
10426,1/23/2017,Pilgrim Bank,Electronic,,1,,,,Yes,,,
10427,1/23/2017,Capital One,Electronic,Yes,3,Yes,,,Yes,Yes,,
10428,1/23/2017,Eastern Bank,Electronic,,302,,,,Yes,,,
10448,1/23/2017,"Sky Climber Access SolutionsAtlanta LLC",Electronic,Yes,3,Yes,,,,,,
10436,1/24/2017,HSBC,Paper,,2,Yes,,,,Yes,,
10437,1/24/2017,Citizens Financial Group,Paper,Yes,1,,Yes,,,Yes,,
10438,1/24/2017,The Village Bank,Paper,Yes,2818,,Yes,,,,,
10439,1/24/2017,Honor Flight New England,Electronic,Yes,308,,Yes,,,,,
10440,1/24/2017,"AmWINS Group Benefits, Inc.",Electronic,Yes,4,Yes,,,,,,
10441,1/25/2017,"Northeast Rehabilitation HospitalNetwork",Paper,Yes,1,,Yes,,,,,
10443,1/25/2017,"Sirius XM Radio, Inc.",Electronic,Yes,10,,Yes,,,,,
10433,1/25/2017,Eagle Bank,Electronic,,1,,,,Yes,,,
10434,1/25/2017,St. Mary's Credit Union,Electronic,,5,,,,Yes,,,
10435,1/25/2017,"Synergy Specialists MedicalGroup, Inc.",Electronic,Yes,1,Yes,,,,Yes,,
10444,1/26/2017,Watertown Savings Bank,Electronic,,5,,,,Yes,,,
10445,1/26/2017,The Village Bank,Electronic,,1,,,,Yes,,,
10446,1/26/2017,Salem Five,Electronic,,1,,Yes,,,,,
10447,1/26/2017,Savers Bank,Electronic,,1,,,,Yes,,,
10449,1/26/2017,St. Mary's Credit Union,Electronic,,46,,,,Yes,,,
10450,1/26/2017,The Village Bank,Electronic,,13,,,,Yes,,,
10451,1/26/2017,"Charles Komar & Sons, Inc.",Electronic,Yes,941,,,,Yes,,,
10478,1/27/2017,"Reflexis, Inc.",Electronic,Yes,53,Yes,,,,Yes,,
10479,1/27/2017,Guitar Center,Electronic,Yes,1,,,Yes,,Yes,,
10480,1/27/2017,Rockland Trust Company,Paper,Yes,1,,Yes,,,Yes,,
10481,1/27/2017,Rockland Trust Company,Paper,Yes,1,,Yes,,,Yes,,
10483,1/27/2017,International Code Council,Electronic,Yes,252,,,,Yes,,,
10484,1/27/2017,Salem Five,Electronic,,1,,,,Yes,,,
10485,1/27/2017,Salem Five,Electronic,,1,,,,Yes,,,
10486,1/27/2017,Anna Jacques Hospital,Paper,Yes,1,,,Yes,Yes,Yes,,
10487,1/27/2017,Intuit,Electronic,Yes,3,Yes,Yes,Yes,,Yes,,
10488,1/27/2017,PMG Physician Associates,Electronic,Yes,1,Yes,Yes,,,Yes,,
10489,1/27/2017,"eHealthInsurance Services, Inc.",Electronic,Yes,136,Yes,,,,Yes,,
10490,1/30/2017,"The Vanguard Group, Inc.",Paper,Yes,1,,Yes,,,,,
10492,1/30/2017,"American Express Travel RelatedServices Company, Inc.",Electronic,,1,,,,Yes,,,
10494,1/30/2017,"Palomar Community CollegeDistrict",Electronic,Yes,1,Yes,,,,Yes,,
10497,1/30/2017,"Pacific Biosciences of California,Inc.",Electronic,Yes,5,Yes,,,,Yes,,
10516,1/30/2017,"Kuhana Associates, LLC",Electronic,Yes,1,Yes,,,,Yes,,
10518,1/30/2017,Verc Enterprises,Electronic,Yes,374,Yes,,,,,,
10519,1/30/2017,"DBM Global, Inc.",Electronic,Yes,1,Yes,Yes,,,,,Yes
10520,1/30/2017,Webster Five,Electronic,,195,,,,Yes,,,
10521,1/30/2017,Princeton Pain Management,Electronic,Yes,2,Yes,Yes,Yes,,Yes,,
10532,1/30/2017,Mututal One,Electronic,,12,,,,Yes,,,
10538,1/30/2017,Pilgrim Bank,Electronic,,1,,,,Yes,,,
10536,1/30/2017,Salem Five,Electronic,,3,,,,Yes,,,
10534,1/30/2017,Massachusetts General Hospital,Electronic,Yes,3,Yes,,,,,,
10539,1/31/2017,"Athletic Clubs of America, Inc.",Electronic,,29,Yes,Yes,,,Yes,,Yes
10540,1/31/2017,Persante Health Care,Electronic,Yes,15,Yes,,,,Yes,,
10541,1/31/2017,"American Express Travel RelatedServices Company, Inc.",Electronic,,8,,,,Yes,,,
10542,1/31/2017,Scotty's Holdings LLC,Electronic,Yes,1,Yes,,,,Yes,,
10551,1/31/2017,Babson College,Electronic,Yes,27,Yes,Yes,,,Yes,,
10552,1/31/2017,Toyota Financial Services,Paper,Yes,1,,Yes,,,Yes,,
10553,1/31/2017,Salem Five,Electronic,Yes,1,,,,Yes,,,
10554,1/31/2017,Savers Bank,Electronic,,14,,,,Yes,,,
10556,1/31/2017,"New York Life InsuranceCompany",Electronic,Yes,45,Yes,,,,Yes,,
10557,1/31/2017,Palm Bay International,Electronic,Yes,9,Yes,,,,Yes,,
10559,1/31/2017,"Commonwealth of Massachusetts- Department of Revenue",Paper,Yes,1,Yes,,,,,,
10560,2/1/2017,St. Mary's Credit Union,Electronic,Yes,3,,,,Yes,,,
10561,2/1/2017,St. Mary's Credit Union,Electronic,,1,,,,Yes,,,
10562,2/1/2017,St. Mary's Credit Union,Electronic,,4,,,,Yes,,,
10563,2/1/2017,Trinity Private Equity Group,Electronic,Yes,3,Yes,,,,Yes,,Yes
10564,2/1/2017,"M. Stanley Metz & Company, Inc.",Electronic,Yes,2337,Yes,,,,Yes,,
10565,2/1/2017,Dracut Public Schools,Electronic,Yes,568,Yes,,,,Yes,,
10566,2/1/2017,The Village Bank,Electronic,,2,,,,Yes,,,
10558,2/1/2017,Salem Five,Electronic,,3,,,,Yes,,,
10550,2/1/2017,"Tufts Public Health Plans, Inc.",Electronic,,380,Yes,,,,Yes,,
10567,2/2/2017,The Village Bank,Electronic,,2,,,,Yes,,,
10568,2/2/2017,Pilgrim Bank,Electronic,,1,,,,Yes,,,
10569,2/2/2017,"RoundPoint Mortgage ServicingCorporation",Paper,,2,,Yes,,,Yes,,
10570,2/2/2017,King McNamara Moriarty LLP,Electronic,Yes,5903,Yes,,,,Yes,,
10571,2/2/2017,Pilgrim Bank,Electronic,,1,,,,Yes,,,
10572,2/2/2017,"Sunrun, Inc.",Electronic,Yes,139,Yes,,,,Yes,,
10573,2/2/2017,The Village Bank,Electronic,,1,,,,Yes,,,
10574,2/2/2017,"University of MassachusettsMedical School",Electronic,Yes,10,Yes,,,,,,Yes
10576,2/3/2017,Eagle Bank,Electronic,,3,,,,Yes,,,
10577,2/3/2017,St. Mary's Credit Union,Electronic,,1,,,,Yes,,,
10578,2/3/2017,Salem Five,Electronic,,1,,,,Yes,,,
10579,2/3/2017,Salem Five,Electronic,,13,,,,Yes,,,
10581,2/3/2017,Umass Memorial Medical Center,Paper,Yes,4,,Yes,,,Yes,,
10582,2/3/2017,Florence Bank,Electronic,Yes,10,Yes,Yes,,,,,
10583,2/3/2017,Palomar Community College,Electronic,Yes,1,Yes,,,,Yes,,
10584,2/3/2017,MIT Federal Credit Union,Electronic,Yes,2,Yes,,,,Yes,,
10585,2/3/2017,MDF Instruments,Electronic,Yes,168,,,,Yes,Yes,,
10586,2/3/2017,"The Mitchell Gold Co.  d/b/aMitchell Gold +Bob Williams",Electronic,Yes,36,Yes,,,,Yes,,
10587,2/3/2017,"Renovate America, Inc.",Electronic,Yes,2,Yes,,,,Yes,,
10588,2/3/2017,ScholarChip Card LLC,Electronic,Yes,16,Yes,Yes,,,,,
10589,2/6/2017,"Maxor National PharmacyServices, LLC",Electronic,Yes,1,Yes,,,,Yes,,
10590,2/6/2017,"The Vanguard Group, Inc.",Paper,Yes,1,Yes,Yes,,,Yes,,
10591,2/6/2017,"Great American Life InsuranceCompany",Electronic,Yes,3,Yes,Yes,Yes,,Yes,,
10592,2/6/2017,Putnam Investments,Electronic,Yes,1,,Yes,,,Yes,,
10593,2/6/2017,Salem Five,Electronic,,2,,,,Yes,,,
10594,2/6/2017,Savers Bank,Electronic,,1,,,,Yes,,,
10595,2/6/2017,Marlborough Savings Bank,Electronic,,9,,,,Yes,,,
10596,2/6/2017,People's United Bank,Electronic,,1,,Yes,,,Yes,,
10598,2/6/2017,Abington Bank,Electronic,,1,,,,Yes,,,
10601,2/6/2017,Bristol County Savings Bank,Electronic,,1,,,,Yes,,,
10602,2/6/2017,Bristol County Savings Bank,Electronic,,1,,,,Yes,,,
10603,2/6/2017,Bristol County Savings Bank,Electronic,,4,,,,Yes,,,
10604,2/6/2017,Bristol County Savings Bank,Electronic,,6,,,,Yes,,,
10605,2/6/2017,Bristol County Savings Bank,Electronic,,2,,,,Yes,,,
10606,2/6/2017,Bristol County Savings Bank,Electronic,,1,,,,Yes,,,
10607,2/6/2017,Bristol County Savings Bank,Electronic,,1,,,,Yes,,,
10608,2/6/2017,Bristol County Savings Bank,Electronic,,2,,,,Yes,,,
10609,2/6/2017,Bristol County Savings Bank,Electronic,,1,,,,Yes,,,
10610,2/6/2017,Bristol County Savings Bank,Electronic,,1,,,,Yes,,,
10442,2/6/2017,"American Express Travel RelatedServices, Inc.",Electronic,,2,,,,Yes,,,
10482,2/7/2017,Sweeney Drywall Finishes Corp.,Electronic,Yes,425,Yes,,,,Yes,,
10493,2/7/2017,Kellem & Kellem LLC,Paper,,2,Yes,Yes,Yes,Yes,Yes,,
10611,2/7/2017,Capital One,Electronic,Yes,3797,,Yes,,,Yes,,
10612,2/7/2017,Fractyl Laboratories,Paper,Yes,6,Yes,,,,,,
10613,2/7/2017,Eagle Bank,Electronic,,1,,,,Yes,,,
10614,2/7/2017,"OnCore Manufacturing LLC,EPIC Technologies LLC",Electronic,Yes,178,Yes,,,,Yes,,
10615,2/8/2017,Middlesex Savings Bank,Electronic,,1,,Yes,,,,,
10616,2/8/2017,"Asbury Communications, Inc.",Electronic,Yes,1,Yes,,,,Yes,,
10618,2/8/2017,"SouthEast Alaska RegionalHealth Consortium",Electronic,Yes,2,Yes,,,,Yes,,
10619,2/8/2017,Harvard University,Electronic,Yes,3,,Yes,,,,,
10620,2/8/2017,St. Mary's Credit Union,Electronic,,3,,,,Yes,,,
10621,2/8/2017,The Village Bank,Electronic,,2,,,,Yes,,,
10622,2/9/2017,The Village Bank,Electronic,,2,,,,Yes,,,
10623,2/9/2017,"OmniGuide, Inc.",Electronic,Yes,90,Yes,,,,Yes,,
10624,2/9/2017,"Teletrac, Inc. and NavmanWireless North America Limited.",Electronic,Yes,2,Yes,,,,Yes,,
10625,2/9/2017,Equifax,Electronic,Yes,3,Yes,,,,Yes,,
10626,2/10/2017,Trustees of Boston University,Electronic,Yes,2,Yes,,,,Yes,,
10627,2/10/2017,Santander Bank N.A.,Paper,Yes,2,,Yes,,,Yes,,
10628,2/10/2017,St. Mary's Credit Union,Electronic,,1,,,,Yes,,,
10629,2/10/2017,"American Express Travel RelatedServices Company, Inc.",Electronic,,356,,,,Yes,,,
10630,2/10/2017,Watertown Savings Bank,Electronic,,3,,,,Yes,Yes,,
10631,2/10/2017,Watertown Savings Bank,Electronic,,2,,,,Yes,Yes,,
10632,2/10/2017,Easthampton Savings Bank,Electronic,,7,Yes,Yes,,,Yes,,
10633,2/10/2017,Jenner & Block LLP,Paper,Yes,5,Yes,,,,Yes,,
10634,2/10/2017,"TransPerfect Global, Inc.",Electronic,Yes,191,Yes,Yes,,,Yes,,
10635,2/10/2017,St. Mary's Credit Union,Electronic,,3,,,,Yes,,,
10636,2/10/2017,"SouthEast Alaska RegionalHealth Consortium",Electronic,Yes,2,Yes,,,,Yes,,
10637,2/10/2017,Intuit,Electronic,Yes,133,Yes,,Yes,,Yes,,
10638,2/13/2017,Kettle Cuisine LLC,Electronic,Yes,326,Yes,,,,Yes,,
10639,2/13/2017,Salem Five,Electronic,,1,,,,Yes,,,
10640,2/13/2017,Salem Five,Electronic,,5,,,,Yes,,,
10641,2/13/2017,"Hampton Roads CommunityFoundation",Paper,Yes,1,Yes,,,,Yes,,
10642,2/13/2017,"American Express Travel RelatedServices, Inc.",Electronic,,6,,,,Yes,,,
10643,2/13/2017,"American Express Travel RelatedServices, Inc.",Electronic,,28,,,,Yes,,,
10644,2/13/2017,Codman Square Health Center,Electronic,Yes,353,Yes,,,,Yes,,
10645,2/13/2017,Evanson Asset Management,Electronic,Yes,3,Yes,Yes,,,,,
10646,2/13/2017,Fidelity Investments,Electronic,Yes,1,Yes,Yes,Yes,,Yes,,
10647,2/13/2017,"Citibank, N.A.",Paper,Yes,4,Yes,,,,Yes,,
10648,2/13/2017,Savers Bank,Electronic,,1,,,,Yes,,,
10649,2/13/2017,The Federal Savings Bank,Electronic,Yes,17,Yes,Yes,Yes,,Yes,,
10650,2/13/2017,Land Title Guarantee Company,Electronic,Yes,2,Yes,,,,Yes,,
10651,2/13/2017,Eastern Bank,Electronic,,381,,,,Yes,,,
10658,2/13/2017,Santander Bank N.A.,Paper,Yes,2,,Yes,,Yes,Yes,,
10659,2/13/2017,Santander Bank N.A.,Paper,,2,,Yes,,,,,
10660,2/14/2017,Marlborough Savings Bank,Electronic,,1,,,,Yes,,,
10661,2/14/2017,Adams Community Bank,Electronic,,4,,,,Yes,,,
10652,2/14/2017,Frosch International Travel,Electronic,Yes,3,Yes,,,,Yes,,
10653,2/14/2017,"American Express Travel RelatedServices, Inc.",Electronic,,3,,,,Yes,,,
10655,2/14/2017,"Merrimack Valley Federal CreditUnion",Paper,Yes,1,,Yes,,,,,
10656,2/14/2017,Midwest Housing Equity Group,Electronic,Yes,4,Yes,,Yes,,Yes,,
10657,2/14/2017,"The Honest Kitchen, Inc.",Electronic,Yes,174,,,,Yes,Yes,,
10662,2/15/2017,Citizens Financial Group,Electronic,Yes,1,,,,Yes,Yes,,
10663,2/15/2017,Salem Five,Electronic,,1,,,,Yes,,,
10664,2/15/2017,Salem Five,Electronic,,23,,,,Yes,,,
10665,2/15/2017,Pilgrim Bank,Electronic,,1,,,,Yes,,,
10666,2/15/2017,"MAM Software, Inc.",Electronic,Yes,1,Yes,,,,Yes,,
10667,2/15/2017,The Village Bank,Electronic,,2,,,,Yes,,,
10668,2/15/2017,Texas Capital Bank,Electronic,Yes,1,,Yes,,,Yes,,
10669,2/15/2017,"Streamlinevents, Inc.",Electronic,Yes,1,Yes,,,,Yes,,
10670,2/15/2017,AIG,Paper,Yes,1,,Yes,,,,,
10671,2/15/2017,The Art of Shaving,Electronic,Yes,2,,,,Yes,,,
10672,2/16/2017,"JP Morgan Chase Bank, N.A.",Paper,Yes,1,,Yes,,,Yes,,
10673,2/16/2017,St. Mary's Credit Union,Electronic,,2,,,,Yes,,,
10674,2/16/2017,Jolicoeur & Associates,Electronic,Yes,2,Yes,Yes,,,Yes,,
10675,2/16/2017,"Peabody Properties, Inc.",Electronic,Yes,20,Yes,,Yes,,Yes,,
10676,2/16/2017,The Village Bank,Electronic,,1,,,,Yes,,,
10677,2/16/2017,"Simco Foods, Inc. d/b/a/ WipeoutBar and Grill",Electronic,Yes,1,Yes,,,,Yes,,
10678,2/16/2017,Fidelity Investments,Paper,Yes,49,Yes,,,,Yes,,
10679,2/16/2017,Manatee County School District,Electronic,Yes,3,Yes,,,,Yes,,
10681,2/16/2017,"Amplify Education, Inc.",Electronic,Yes,15,Yes,,,,Yes,,
10682,2/16/2017,"Commonwealth of Massachusetts- Department of Revenue",Electronic,Yes,1,Yes,,,,,,
10683,2/16/2017,Mutual One Bank,Electronic,,1,,,,Yes,,,
10684,2/16/2017,"Medical Depot, Inc.",Electronic,Yes,2,Yes,,,,Yes,,
10685,2/17/2017,"CellNetix Pathology andLaboratories",Electronic,Yes,1,Yes,,,,Yes,,
10686,2/17/2017,"IXL Learning, Inc.",Electronic,Yes,2,Yes,,,,Yes,,
10687,2/17/2017,Goode Compliance International,Electronic,Yes,1,Yes,,,,Yes,,
10688,2/17/2017,"Astadia, Inc.",Electronic,Yes,18,Yes,,,,Yes,,
10689,2/17/2017,Family Service Rochester,Electronic,Yes,8,,Yes,,,Yes,,
10690,2/17/2017,Intex Recreation Corp.,Electronic,Yes,1119,,,,Yes,Yes,,
10691,2/21/2017,"American Express Travel RelatedServices Company, Inc.",Electronic,,134,,,,Yes,,,
10692,2/21/2017,Bentley University,Electronic,Yes,24,Yes,Yes,,,Yes,,
10693,2/21/2017,Salem Five,Electronic,,1,,,,Yes,,,
10694,2/21/2017,Salem Five,Electronic,,7,,,,Yes,,,
10695,2/21/2017,"Antron Engineering & MachineCo., Inc.",Electronic,,178,Yes,,,,Yes,,
10696,2/21/2017,Enterprise Rent-A-Car,Paper,Yes,2,Yes,Yes,Yes,,Yes,,
10697,2/21/2017,Mi9 Retail,Electronic,Yes,11,Yes,,,,Yes,,
10698,2/21/2017,State Bank of Lincoln,Electronic,Yes,1,Yes,Yes,Yes,Yes,Yes,,
10699,2/21/2017,"Zelnick, Mann, and Winikur, PC.",Electronic,Yes,7,Yes,,,,,,
10700,2/21/2017,Showpay LLC,Electronic,Yes,4,Yes,,,,Yes,,
10701,2/21/2017,"LEAF Commercial Capital, Inc",Electronic,Yes,1,Yes,,,,Yes,,
10702,2/22/2017,St. Mary's Credit Union,Electronic,,6,,,,Yes,,,
10703,2/22/2017,"Gardiner & Appel Group, Inc.",Electronic,Yes,4,Yes,,,,Yes,,
10704,2/22/2017,SunTrust Bank,Electronic,,18,,Yes,,,Yes,,
10705,2/22/2017,Ralph A. Strafaci E.A.,Electronic,Yes,4,Yes,Yes,,,Yes,,
10706,2/22/2017,"Arbella Advisors, LLC",Electronic,Yes,16,Yes,Yes,Yes,Yes,Yes,,
10707,2/22/2017,"InterMountain Management, LLC",Electronic,Yes,2,Yes,,,,Yes,,
10708,2/22/2017,Savio House,Electronic,Yes,1,Yes,,,,Yes,,
10709,2/22/2017,Economic Mobility Pathways,Electronic,Yes,194,Yes,,,,Yes,,
10710,2/22/2017,Intuit,Electronic,Yes,74,Yes,,Yes,Yes,Yes,,
10711,2/23/2017,Eagle Bank,Electronic,,1,,,,Yes,,,
10712,2/23/2017,St. Mary Credit Union,Electronic,,1,,,,Yes,,,
10713,2/23/2017,CapTech Ventures,Electronic,Yes,2,Yes,,,,Yes,,
10714,2/23/2017,Fresh Formats LLC,Electronic,Yes,412,Yes,,,,Yes,,
10715,2/23/2017,Watertown Savings Bank,Electronic,,4,,,,Yes,,,
10716,2/23/2017,Watertown Savings Bank,Electronic,,4,,,,Yes,,,
10717,2/23/2017,Watertown Savings Bank,Electronic,,7,,,,Yes,,,
10718,2/23/2017,Watertown Savings Bank,Electronic,,1,,,,Yes,,,
10719,2/23/2017,Watertown Savings Bank,Electronic,,3,,,,Yes,,,
10720,2/23/2017,Avidia Bank,Electronic,,1,,Yes,,,,,
10721,2/23/2017,"Educational Development Center,Inc.",Electronic,Yes,1,Yes,,,,Yes,,
10722,2/23/2017,"Biothera Pharmaceuticals, Inc.",Electronic,Yes,1,Yes,,,,Yes,,
10724,2/23/2017,"American Express Travel RelatedServices, Inc.",Electronic,,1,,,,Yes,,,
10725,2/23/2017,"American Express Travel RelatedServices, Inc.",Electronic,,1,,,,Yes,,,
10726,2/24/2017,"American Express Travel RelatedServices, Inc.",Electronic,,82,,,,Yes,,,
10727,2/24/2017,Watertown Savings Bank,Electronic,,1,,,,Yes,,,
10728,2/24/2017,"American Express Travel RelatedServices, Inc.",Electronic,,2,,,,Yes,,,
10729,2/24/2017,"American Express Travel RelatedServices Company, Inc.",Electronic,,2,,,,Yes,,,
10730,2/24/2017,"Goldberg, Miller & Rubin, PC",Electronic,,1,Yes,Yes,Yes,,Yes,,
10731,2/24/2017,Allied Minds LLC,Electronic,Yes,68,Yes,,,,Yes,,
10732,2/24/2017,Ashland University,Electronic,Yes,4,Yes,,,,Yes,,
10733,2/24/2017,"The Prudential InsuranceCompany of America",Electronic,Yes,1,Yes,Yes,,,Yes,,
10734,2/24/2017,Abbott Nutrition,Electronic,,2804,,,,Yes,Yes,,
10736,2/24/2017,Eagle Bank,Electronic,,1,,,,Yes,,,
10737,2/24/2017,The Middlesex Corporation,Electronic,Yes,177,Yes,,,,Yes,,
