ID,organization,state,industry,exposure,records
ITRC20140603-19,Placemark Investments,TX,Banking/Credit/Financial,Yes - Unknown #,Unknown
ITRC20140527-08,Santander Bank,MA,Banking/Credit/Financial,Yes - Unknown #,Unknown
ITRC20140514-01,Pennsylvania Real Estate Investment Trust,PA,Banking/Credit/Financial,Yes - Unknown #,Unknown
ITRC20140513-09,Federal Home Loan Mortgage Corporation (Freddie Ma,VA,Banking/Credit/Financial,Yes - Unknown #,Unknown
ITRC20140408-01,Cole Taylor (Bank) Mortgage,OR,Banking/Credit/Financial,Yes - Unknown #,Unknown
ITRC20140327-03,TD Bank,NJ,Banking/Credit/Financial,Yes - Unknown #,Unknown
ITRC20140327-02,TD Bank,NJ,Banking/Credit/Financial,Yes - Unknown #,Unknown
ITRC20140327-01,"McDermott Investment Services, LLC",PA,Banking/Credit/Financial,Yes - Unknown #,Unknown
ITRC20140311-04,Oak Associates Funds,MA,Banking/Credit/Financial,Yes - Unknown #,Unknown
ITRC20140311-02,Timken Company,OH,Banking/Credit/Financial,Yes - Published #,4987
ITRC20140225-09,TD Bank / University of New Hampshire,NH,Banking/Credit/Financial,Yes - Unknown #,Unknown
ITRC20140225-02,"Zevin Asset Management, LLC",MA,Banking/Credit/Financial,Yes - Unknown #,Unknown
ITRC20140210-04,Bank of the West,CA,Banking/Credit/Financial,Yes - Unknown #,Unknown
ITRC20140204-06,TD Bank,NJ,Banking/Credit/Financial,Yes - Unknown #,Unknown
ITRC20140204-05,TD Bank,NJ,Banking/Credit/Financial,Yes - Unknown #,Unknown
ITRC20140127-03,W.J. Bradley Mortgage Capital LLC,CO,Banking/Credit/Financial,Yes - Unknown #,Unknown
ITRC20140107-08,Branch Banking & Trust Co.,NC,Banking/Credit/Financial,Yes - Unknown #,Unknown
ITRC20141231-17,Sony PlayStation / Microsoft Xbox / Amazon,NY,Business,Yes - Published #,13000
ITRC20141231-15,Sitesearch Corp. LeapLab LLC Leads Company LLC,AZ,Business,Yes - Published #,2200000
ITRC20141231-14,Apple Leisure Group / AMResorts,PA,Business,Yes - Unknown #,Unknown
ITRC20141231-13,Ascena Retail Group (ADP),NJ,Business,Yes - Unknown #,Unknown
ITRC20141231-12,Chick-fil-A,GA,Business,Yes - Unknown #,Unknown
ITRC20141231-11,Valplast Supply Company,NY,Business,Yes - Unknown #,Unknown
ITRC20141231-10,Stagecoach Transportation Services,VT,Business,Yes - Unknown #,Unknown
ITRC20141231-09,Walgreen Co.,AL,Business,Yes - Published #,60000
ITRC20141230-05,Lokai Holdings,NY,Business,Yes - Published #,1673
ITRC20141230-04,theonepercent.org / Public Architecture,CA,Business,Yes - Unknown #,Unknown
ITRC20141230-01,OneStopParking.com,KY,Business,Yes - Unknown #,Unknown
ITRC20141223-13,Custom Accessories BorderImage,IL,Business,Yes - Unknown #,Unknown
ITRC20141223-12,Park 'N Fly,GA,Business,Yes - Unknown #,Unknown
ITRC20141223-10,Presidian Hotels & Resorts / Visalia Marriott,TX,Business,Yes - Unknown #,Unknown
ITRC20141223-09,Office of Rob Kirby,CA,Business,Yes - Unknown #,Unknown
ITRC20141223-08,DutchWear (Boersma Bros.,OR,Business,Yes - Unknown #,Unknown
ITRC20141223-07,Nvidia,CA,Business,Yes - Unknown #,Unknown
ITRC20141223-05,IDParts.com,MA,Business,Yes - Published #,12000
ITRC20141223-04,Harmonic Inc.,CA,Business,Yes - Unknown #,Unknown
ITRC20141216-18,Acosta Inc.,FL,Business,Yes - Unknown #,Unknown
ITRC20141216-04,Sands Casino Resort Bethlehem,PA,Business,Yes - Unknown #,Unknown
ITRC20141216-03,Family Central / Early Learning Coalition,FL,Business,Yes - Published #,100
ITRC20141212-01,St. Louis Parking Company,MO,Business,Yes - Unknown #,Unknown
ITRC20141211-04,CHARGE Anywhere,NJ,Business,Yes - Unknown #,Unknown
ITRC20141211-01,EMCOR Services Mesa Energy Systems,CA,Business,Yes - Unknown #,Unknown
ITRC20141209-09,Blue Mountain Community Foundation,WA,Business,Yes - Unknown #,Unknown
ITRC20141209-07,Pacific Supply Company (Experian),CA,Business,Yes - Unknown #,Unknown
ITRC20141209-05,Calypso St. Barth,NY,Business,Yes - Unknown #,Unknown
ITRC20141209-04,e-conolight,AZ,Business,Yes - Unknown #,Unknown
ITRC20141209-03,Stephen Phillips Memorial Scholarship Fund,MA,Business,Yes - Unknown #,Unknown
ITRC20141205-01,Bebe Stores,CA,Business,Yes - Unknown #,Unknown
ITRC20141202-11,Holiday Motel,VT,Business,Yes - Unknown #,Unknown
ITRC20141202-07,Simms Fishing Products,MT,Business,Yes - Unknown #,Unknown
ITRC20141202-06,SP Plus,IL,Business,Yes - Unknown #,Unknown
ITRC20141202-05,"American Residuals and Talent, Inc. (ART Payroll)",CA,Business,Yes - Published #,16000
ITRC20141202-04,Shutterfly - tinyprints,CA,Business,Yes - Unknown #,Unknown
ITRC20141202-03,"Godiva Chocolatier, Inc.",US,Business,Yes - Unknown #,Unknown
ITRC20141202-02,State Compensation Insurance Fund,CA,Business,Yes - Unknown #,Unknown
ITRC20141202-01,Sony Pictures Entertainment / Health & Welfare Benefit,CA,Business,Yes - Published #,47740
ITRC20141125-07,"Moolah Payments (MemberClicks, Inc.)",GA,Business,Yes - Published #,250
ITRC20141125-06,Green Energy Training Academy,PA,Business,Yes - Published #,53
ITRC20141125-05,Duluth Pack,MN,Business,Yes - Unknown #,Unknown
ITRC20141125-02,Carrington of Champion Forest,TX,Business,Yes - Unknown #,Unknown
ITRC20141125-01,Regional Transportation District,CO,Business,Yes - Unknown #,Unknown
ITRC20141118-11,Bayview Solutions,FL,Business,Yes - Published #,28000
ITRC20141118-10,Cornerstone and Company,FL,Business,Yes - Published #,40600
ITRC20141118-09,Grand Casino Mille Lacs,MN,Business,Yes - Published #,1600
ITRC20141118-08,Merchants Capital Access,NY,Business,Yes - Unknown #,Unknown
ITRC20141118-07,West Publishing Corporation,MN,Business,Yes - Unknown #,Unknown
ITRC20141118-05,Alliance Workplace Solutions,IL,Business,Yes - Unknown #,Unknown
ITRC20141118-04,"EZ Prints, Inc.",GA,Business,Yes - Unknown #,Unknown
ITRC20141118-03,Eastern Iowa Airport,IA,Business,Yes - Unknown #,Unknown
ITRC20141118-01,Staples,MA,Business,Yes - Published #,1160000
ITRC20141114-01,Chino Latino / Burger Jones,MN,Business,Yes - Unknown #,Unknown
ITRC20141110-03,One Love Organics,GA,Business,Yes - Unknown #,Unknown
ITRC20141107-01,Home Depot - Emails,GA,Business,Yes - Unknown #,Unknown
ITRC20141103-08,Backcountry Gear #2`,OR,Business,Yes - Unknown #,Unknown
ITRC20141103-03,Datapark / ABM Parking Services Inc.,OH,Business,Yes - Unknown #,Unknown
ITRC20141103-02,Henry & Rilla White Foundation,FL,Business,Yes - Unknown #,Unknown
ITRC20141028-10,Cape May-Lewes Ferry’s (Delaware River & Bay Author,DE,Business,Yes - Published #,60000
ITRC20141028-07,NeedMyTranscript.com,WA,Business,Yes - Published #,98818
ITRC20141028-06,"American Soccer Company, Inc. / SCORE",CA,Business,Yes - Unknown #,Unknown
ITRC20141028-05,Reeves International / Breyer Horses,NJ,Business,Yes - Unknown #,Unknown
ITRC20141028-03,www.sinclairinstitute.com,NC,Business,Yes - Unknown #,Unknown
ITRC20141028-02,Public Safety Personnel Retirement System,AZ,Business,Yes - Published #,52000
ITRC20141021-01,AT&T,TX,Business,Yes - Unknown #,Unknown
ITRC20141020-09,Future is Now,LA,Business,Yes - Published #,210
ITRC20141020-02,National Domestic Workers Alliance,NY,Business,Yes - Unknown #,Unknown
ITRC20141020-01,"Sourcebooks, Inc. / PutMeInTheStory",IL,Business,Yes - Published #,5204
ITRC20141014-08,Kmart,IL,Business,Yes - Unknown #,Unknown
ITRC20141014-04,"Aquarian Water Company / Dworken, Hillman, LaMorte",CT,Business,Yes - Unknown #,Unknown
ITRC20141014-03,Evolution Store,NY,Business,Yes - Unknown #,Unknown
ITRC20141014-01,"Cyberswim, Inc.",PA,Business,Yes - Unknown #,Unknown
ITRC20141008-01,MBIA Inc.,NY,Business,Yes - Unknown #,Unknown
ITRC20141007-08,SELF Loan,MN,Business,Yes - Unknown #,Unknown
ITRC20141007-06,Essex Property Trust,CA,Business,Yes - Unknown #,Unknown
ITRC20141007-02,UIL Holdings Corporation,CT,Business,Yes - Unknown #,Unknown
ITRC20141007-01,Community Technology Alliance,CA,Business,Yes - Published #,1177
ITRC20141006-01,"Flinn Scientific, Inc.",IL,Business,Yes - Unknown #,Unknown
ITRC20140930-06,Cox Communications,GA,Business,Yes - Published #,52
ITRC20140930-04,Supervalu #2,MN,Business,Yes - Unknown #,Unknown
ITRC20140930-03,Pacific Biosciences,CA,Business,Yes - Unknown #,Unknown
ITRC20140930-02,BayBio,CA,Business,Yes - Unknown #,Unknown
ITRC20140930-01,Viator,CA,Business,Yes - Published #,880000
ITRC20140923-14,Kmart Corporation,IL,Business,Yes - Published #,1866
ITRC20140923-07,Motorola Mobility - StayWell Health Management,IL,Business,Yes - Published #,940
ITRC20140923-06,Staples - StayWell Health Management,MA,Business,Yes - Published #,3470
ITRC20140922-03,GovJobs.com,CA,Business,Yes - Unknown #,Unknown
ITRC20140922-01,Sheplers,TX,Business,Yes - Unknown #,Unknown
ITRC20140916-05,Tim McCoy & Associates (NEAT Management Group),TX,Business,Yes - Unknown #,Unknown
ITRC20140909-04,National Committee for Quality Assurance (NCQA),DC,Business,Yes - Unknown #,Unknown
ITRC20140909-03,Beef O'Brady's,FL,Business,Yes - Unknown #,Unknown
ITRC20140908-05,Dairy Queen,MN,Business,Yes - Unknown #,Unknown
ITRC20140908-04,Bimbo Bakeries USA,PA,Business,Yes - Unknown #,Unknown
ITRC20140908-01,Yandy.com,AZ,Business,Yes - Published #,44724
ITRC20140902-07,Summit County Fair,UT,Business,Yes - Published #,951
ITRC20140902-05,Home Depot,GA,Business,Yes - Published #,56000000
ITRC20140902-02,Bartell Hotels,CA,Business,Yes - Published #,55000
ITRC20140828-03,ClamCase LLC,CA,Business,Yes - Unknown #,Unknown
ITRC20140828-02,Imhoff & Associates,GA,Business,Yes - Unknown #,Unknown
ITRC20140826-07,OTTO Pizzeria,ME,Business,Yes - Published #,900
ITRC20140826-06,Mizado Cocina,LA,Business,Yes - Published #,8000
ITRC20140826-05,Kleiner Perkins Caufield & Byers,CA,Business,Yes - Unknown #,Unknown
ITRC20140826-04,Missouri Sheriff's Association,MO,Business,Yes - Unknown #,Unknown
ITRC20140826-03,Ledgewood Farm / Wharton Farm Market,NJ,Business,Yes - Published #,100
ITRC20140826-02,Geekface LLC,NY,Business,Yes - Unknown #,Unknown
ITRC20140825-01,Comcast,PA,Business,Yes - Unknown #,Unknown
ITRC20140821-01,United Parcel Service (UPS),GA,Business,Yes - Published #,105000
ITRC20140820-05,"Omega Net, Inc.",GA,Business,Yes - Unknown #,Unknown
ITRC20140820-04,NRG Assets LLC,NY,Business,Yes - Unknown #,Unknown
ITRC20140820-03,"Freshology, Inc.",CA,Business,Yes - Unknown #,Unknown
ITRC20140820-02,Davidson Hotel Company dba Davidson Hotels & Reso,GA,Business,Yes - Unknown #,Unknown
ITRC20140820-01,Compass Group Support Services (Crothall Services G,NC,Business,Yes - Unknown #,Unknown
ITRC20140819-06,C3 Presents,TX,Business,Yes - Unknown #,Unknown
ITRC20140819-03,Harry Barker,SC,Business,Yes - Unknown #,Unknown
ITRC20140819-01,"MeetMe, Inc.",PA,Business,Yes - Unknown #,Unknown
ITRC20140818-02,Supervalu / AB Acquisitions,MN,Business,Yes - Unknown #,Unknown
ITRC20140812-15,Dreslyn,CA,Business,Yes - Unknown #,Unknown
ITRC20140812-12,TheNaturalOnline.com / Freedom Management Group,NY,Business,Yes - Published #,Unknown
ITRC20140812-11,Anderson & Murison,CA,Business,Yes - Unknown #,Unknown
ITRC20140812-10,Jimmy Johns - Signature Systems Inc.,IL,Business,Yes - Unknown #,Unknown
ITRC20140812-08,Desert Title Service (AZ Department of Transportation),AZ,Business,Yes - Unknown #,Unknown
ITRC20140812-06,Chicago Yacht Club,IL,Business,Yes - Unknown #,Unknown
ITRC20140812-03,Acxiom Insight,AR,Business,Yes - Published #,944
ITRC20140812-01,Vibram USA,MA,Business,Yes - Unknown #,Unknown
ITRC20140805-12,Delaware Restaurant Association,DE,Business,Yes - Published #,1900
ITRC20140805-05,Recreational Equipment (REI),WA,Business,Yes - Unknown #,Unknown
ITRC20140805-04,"Wireless Emporium / Test Effects, LLC",CA,Business,Yes - Unknown #,Unknown
ITRC20140805-03,Merchant - American Express,NY,Business,Yes - Unknown #,Unknown
ITRC20140805-02,"Lasko Group, Inc. / Air King America",PA,Business,Yes - Unknown #,Unknown
ITRC20140805-01,Mozilla,CA,Business,Yes - Unknown #,Unknown
ITRC20140729-17,Backcountry Gear,OR,Business,Yes - Unknown #,Unknown
ITRC20140729-13,"Nexogy, Inc. (LD Telecommunications)",FL,Business,Yes - Unknown #,Unknown
ITRC20140729-09,MobilexUSA,OH,Business,Yes - Published #,605
ITRC20140728-03,StubHub,CA,Business,Yes - Published #,1000
ITRC20140728-01,Wendy's,MI,Business,Yes - Unknown #,Unknown
ITRC20140722-03,Dominion Resources / Onsite Health Diagnostics / Sta,VA,Business,Yes - Published #,1700
ITRC20140722-02,Goodwill,MD,Business,Yes - Published #,868000
ITRC20140718-04,Law Enforcement - American Express Company,NY,Business,Yes - Unknown #,Unknown
ITRC20140715-06,"Dennis East International, LLC (Omeganet)",MA,Business,Yes - Unknown #,Unknown
ITRC20140715-05,"MileOne, Inc. (Atlantic Automotive Corp.)",MD,Business,Yes - Unknown #,Unknown
ITRC20140715-04,"Houstonian Hotel, Club & Spa",TX,Business,Yes - Published #,10000
ITRC20140714-01,AECOM,GA,Business,Yes - Published #,1892
ITRC20140708-06,Watermark Retirement Communities,AZ,Business,Yes - Unknown #,Unknown
ITRC20140708-03,Legal Sea Foods,OR,Business,Yes - Unknown #,Unknown
ITRC20140708-02,Heartland Automotive Services (Jiffy Lube),TX,Business,Yes - Unknown #,Unknown
ITRC20140702-01,"Information System & Supplies, Inc.",WA,Business,Yes - Unknown #,Unknown
ITRC20140627-05,Excelitas Technologies Corp.,MA,Business,Yes - Unknown #,Unknown
ITRC20140627-04,CoreLogic SafeRent,CA,Business,Yes - Unknown #,Unknown
ITRC20140627-03,Benjamin F. Edwards & Co.,GA,Business,Yes - Unknown #,Unknown
ITRC20140627-02,"Sterne, Agee & Leach, Inc.",AL,Business,Yes - Published #,352551
ITRC20140627-01,"Record Assist, LLC",TX,Business,Yes - Unknown #,Unknown
ITRC20140625-01,Multi-State Billing Services,NH,Business,Yes - Published #,3446
ITRC20140624-04,Car Washes nationwide,US,Business,Yes - Unknown #,Unknown
ITRC20140623-01,Giant Eagle,PA,Business,Yes - Unknown #,Unknown
ITRC20140619-02,"Metropolitan Companies, Inc.",GA,Business,Yes - Published #,8423
ITRC20140618-02,SafetyFirst,NJ,Business,Yes - Unknown #,Unknown
ITRC20140616-08,Rowan Companies,TX,Business,Yes - Unknown #,Unknown
ITRC20140616-07,Herbaria,MO,Business,Yes - Unknown #,Unknown
ITRC20140616-05,"AirBorn, Inc.",GA,Business,Yes - Unknown #,Unknown
ITRC20140613-01,AT&T,CA,Business,Yes - Unknown #,Unknown
ITRC20140611-01,P.F. Chang's,AZ,Business,Yes - Unknown #,Unknown
ITRC20140610-08,Craftsman Book Company,CA,Business,Yes - Published #,11000
ITRC20140610-07,National Credit Adjusters,CA,Business,Yes - Unknown #,Unknown
ITRC20140609-02,Service Alternatives,WA,Business,Yes - Published #,550
ITRC20140609-01,CenturyLink,KS,Business,Yes - Unknown #,Unknown
ITRC20140604-01,Law Enforcement - American Express,NY,Business,Yes - Published #,76608
ITRC20140603-07,Union Labor Life Insurance Company,MD,Business,Yes - Published #,42713
ITRC20140603-05,Home Depot,GA,Business,Yes - Published #,30000
ITRC20140603-04,Power Equipment Direct,GA,Business,Yes - Unknown #,Unknown
ITRC20140530-01,Monsanto,MO,Business,Yes - Published #,1300
ITRC20140527-11,American Institutes for Research,WA,Business,Yes - Published #,6500
ITRC20140527-10,AutoNation,FL,Business,Yes - Unknown #,Unknown
ITRC20140527-09,Precision Planting,IL,Business,Yes - Unknown #,Unknown
ITRC20140527-07,"Mercer HR Services, LLC",NY,Business,Yes - Unknown #,Unknown
ITRC20140527-05,"Maschino, Hudelson & Associates",OK,Business,Yes - Published #,5500
ITRC20140521-01,eBay,CA,Business,Yes - Unknown #,Unknown
ITRC20140519-06,Entercom Portland,OR,Business,Yes - Published #,13000
ITRC20140519-05,Paytime Inc.,PA,Business,Yes - Published #,233000
ITRC20140519-01,Lowe's,GA,Business,Yes - Published #,35000
ITRC20140513-10,FujiFilm North America,NY,Business,Yes - Unknown #,Unknown
ITRC20140513-08,Victoria's Secret,FL,Business,Yes - Unknown #,Unknown
ITRC20140513-06,Westlife Distribution LLC,CA,Business,Yes - Unknown #,Unknown
ITRC20140513-05,Society for Science & the Public (SSP),DE,Business,Yes - Unknown #,Unknown
ITRC20140513-04,"Mid Atlantic Professionals, Inc. DBA SSI",MD,Business,Yes - Published #,521
ITRC20140513-02,Mimeo,NY,Business,Yes - Unknown #,Unknown
ITRC20140512-02,Gingerbread Shed Corporation,AZ,Business,Yes - Published #,50000
ITRC20140512-01,Green's Accounting,CA,Business,Yes - Unknown #,Unknown
ITRC20140506-05,Affinity Gaming,NV,Business,Yes - Unknown #,Unknown
ITRC20140506-03,Central City Concern,OR,Business,Yes - Published #,17914
ITRC20140506-01,ground(ctrl),CA,Business,Yes - Unknown #,Unknown
ITRC20140502-01,Boomerang Tags,CA,Business,Yes - Unknown #,Unknown
ITRC20140429-02,JCM Partners,GA,Business,Yes - Unknown #,Unknown
ITRC20140429-01,AOL,NY,Business,Yes - Unknown #,Unknown
ITRC20140422-09,QBE Holdings Inc. (StayWell Health Management),NY,Business,Yes - Published #,1746
ITRC20140422-02,Snelling Staffing,TX,Business,Yes - Published #,9757
ITRC20140422-01,NCO Financial Systems,PA,Business,Yes - Unknown #,Unknown
ITRC20140417-01,Aaron Brothers,TX,Business,Yes - Published #,400000
ITRC20140415-10,BigMoneyJobs.com,US,Business,Yes - Unknown #,Unknown
ITRC20140415-09,LOGOS Management Software LLC,CA,Business,Yes - Unknown #,Unknown
ITRC20140415-08,Little Caesars Pizza,OR,Business,Yes - Published #,98
ITRC20140415-07,Deltek,VA,Business,Yes - Published #,80000
ITRC20140415-06,Veterans of Foreign Wars of the U.S.,DC,Business,Yes - Published #,55000
ITRC20140415-05,LaCie USA,OR,Business,Yes - Unknown #,Unknown
ITRC20140408-05,"EveryChild, Inc.",TX,Business,Yes - Published #,2934
ITRC20140408-02,Kmart Corporation,IL,Business,Yes - Published #,16446
ITRC20140407-02,Cintas Document Management,TX,Business,Yes - Unknown #,Unknown
ITRC20140407-01,RK Internet (Rural King),IL,Business,Yes - Unknown #,Unknown
ITRC20140402-05,Spec's,TX,Business,Yes - Published #,550000
ITRC20140327-09,El Agave Mexican Restaurant,MN,Business,Yes - Published #,200
ITRC20140327-06,State Bar of Nevada Storage Facility,NV,Business,Yes - Unknown #,Unknown
ITRC20140327-04,Wolf & Company,MA,Business,Yes - Unknown #,Unknown
ITRC20140325-02,Rosenthal the Malibu Estates,CA,Business,Yes - Unknown #,Unknown
ITRC20140321-46,Digia USA Inc.,CA,Business,Yes - Unknown #,Unknown
ITRC20140321-45,Variable Annuity Life Insurance Company,TX,Business,Yes - Published #,774723
ITRC20140321-08,Nissan North America (StayWell Health Management),TN,Business,Yes - Published #,1511
ITRC20140319-02,Silversage,CA,Business,Yes - Unknown #,Unknown
ITRC20140318-01,Hickory Grove,GA,Business,Yes - Published #,300
ITRC20140317-02,Lakewood Church,TX,Business,Yes - Unknown #,Unknown
ITRC20140317-01,Sallys Beauty Holdings,TX,Business,Yes - Published #,25000
ITRC20140312-01,Statista,NY,Business,Yes - Published #,50000
ITRC20140311-05,J.M. Smucker Company,OH,Business,Yes - Published #,23000
ITRC20140311-03,Archdiocese of Seattle,WA,Business,Yes - Published #,90000
ITRC20140305-05,EMC Corporation,MA,Business,Yes - Unknown #,Unknown
ITRC20140305-04,Alaska Communications Systems Holdings,AK,Business,Yes - Unknown #,Unknown
ITRC20140305-03,"Assisted Living Concepts, LLC",IL,Business,Yes - Published #,43600
ITRC20140305-02,OANDA Corporation,NY,Business,Yes - Unknown #,Unknown
ITRC20140303-09,Taxi Affiliation Services / Dispatch Taxi,IL,Business,Yes - Unknown #,Unknown
ITRC20140303-06,Las Vegas Sands Corporation,NV,Business,Yes - Unknown #,Unknown
ITRC20140225-08,My Matrixx,FL,Business,Yes - Unknown #,Unknown
ITRC20140225-07,Tadych's Econofoods,MI,Business,Yes - Unknown #,Unknown
ITRC20140225-04,Kenerson Associates,MA,Business,Yes - Unknown #,Unknown
ITRC20140219-01,Kickstarter,NY,Business,Yes - Unknown #,Unknown
ITRC20140210-05,South San Francisco Embassy Suites Hotel,CA,Business,Yes - Unknown #,Unknown
ITRC20140210-03,Easter Seal Society of Superior California,GA,Business,Yes - Unknown #,Unknown
ITRC20140210-01,Freeman Company,TX,Business,Yes - Unknown #,Unknown
ITRC20140206-02,Home Depot,GA,Business,Yes - Published #,20000
ITRC20140205-04,Yahoo Inc.,CA,Business,Yes - Unknown #,Unknown
ITRC20140205-01,Nielsen,CT,Business,Yes - Unknown #,Unknown
ITRC20140204-08,AFLAC,SC,Business,Yes - Unknown #,Unknown
ITRC20140204-03,State Industrial Products,OH,Business,Yes - Unknown #,Unknown
ITRC20140204-01,"Bring It To Me, LLC",CA,Business,Yes - Unknown #,Unknown
ITRC20140131-08,White Lodging Services Corporation,IN,Business,Yes - Unknown #,Unknown
ITRC20140128-01,Pee Dee Regional Transportation,SC,Business,Yes - Published #,50
ITRC20140127-11,Suretegrity,FL,Business,Yes - Published #,1010
ITRC20140127-10,EasyDraft,NC,Business,Yes - Unknown #,Unknown
ITRC20140127-08,Apex Systems,VA,Business,Yes - Unknown #,Unknown
ITRC20140127-05,Culver's,IL,Business,Yes - Published #,80
ITRC20140127-04,PCC Structurals Inc.,OR,Business,Yes - Unknown #,Unknown
ITRC20140127-02,Coca-Cola Company,GA,Business,Yes - Published #,74000
ITRC20140127-01,Michaels Stores,TX,Business,Yes - Published #,2600000
ITRC20140122-02,Lafarge West Inc.,NM,Business,Yes - Unknown #,Unknown
ITRC20140121-13,Merchant - American Express,NY,Business,Yes - Unknown #,Unknown
ITRC20140121-07,United Natural Foods,CA,Business,Yes - Unknown #,Unknown
ITRC20140121-06,Old Navy,CA,Business,Yes - Unknown #,Unknown
ITRC20140121-05,UNICEF,NY,Business,Yes - Unknown #,Unknown
ITRC20140121-02,Pilot Travel Center,TN,Business,Yes - Unknown #,Unknown
ITRC20140121-01,Easton-Bell Sports,GA,Business,Yes - Published #,6000
ITRC20140114-02,Update Legal,CA,Business,Yes - Unknown #,Unknown
ITRC20140110-02,Straight Dope LLC,IL,Business,Yes - Unknown #,Unknown
ITRC20140110-01,Neiman Marcus,TX,Business,Yes - Published #,1100000
ITRC20140107-01,'wichcraft,NY,Business,Yes - Unknown #,Unknown
ITRC20140101-01,Snapchat,CA,Business,Yes - Unknown #,Unknown
ITRC20141223-03,James Madison University,VA,Education,Yes - Published #,2800
ITRC20141223-01,South Western High School,PA,Education,Yes - Unknown #,Unknown
ITRC20141216-17,Point Loma Nazarene University,CA,Education,Yes - Unknown #,Unknown
ITRC20141216-01,University of California Berkeley,CA,Education,Yes - Published #,1600
ITRC20141209-06,University of Oklahoma Health Sciences Center - Colle,OK,Education,Yes - Unknown #,Unknown
ITRC20141124-01,Prince George's County Public School System,MD,Education,Yes - Published #,10400
ITRC20141118-06,Nova Southeastern University,TX,Education,Yes - Unknown #,Unknown
ITRC20141117-01,Seattle Public Schools,WA,Education,Yes - Published #,8000
ITRC20141103-07,Meade School District,SD,Education,Yes - Unknown #,Unknown
ITRC20141103-04,Lewisburg Area School District,PA,Education,Yes - Published #,1968
ITRC20141028-08,Arkansas State University-Beebe,AR,Education,Yes - Unknown #,Unknown
ITRC20141020-11,Marquette University,WI,Education,Yes - Unknown #,Unknown
ITRC20141020-10,Warren County Public Schools,KY,Education,Yes - Unknown #,Unknown
ITRC20141014-05,North Dakota State College of Science,ND,Education,Yes - Published #,15000
ITRC20141007-07,Provo City School District,UT,Education,Yes - Published #,1400
ITRC20141007-05,Fort Hays State University,KS,Education,Yes - Published #,138
ITRC20140922-05,Brandon Hall School,GA,Education,Yes - Unknown #,Unknown
ITRC20140909-02,George Mason University,VA,Education,Yes - Published #,4400
ITRC20140908-02,California State University - East Bay,CA,Education,Yes - Published #,6036
ITRC20140825-03,New Mexico State University,NM,Education,Yes - Published #,170
ITRC20140822-01,University of Louisiana at Monroe,LA,Education,Yes - Unknown #,Unknown
ITRC20140819-02,St. Francis College,NY,Education,Yes - Unknown #,Unknown
ITRC20140812-09,University of California Santa Barbara,CA,Education,Yes - Unknown #,Unknown
ITRC20140812-07,University of West Florida,FL,Education,Yes - Unknown #,Unknown
ITRC20140812-04,Virginia Wesleyan College,VA,Education,Yes - Published #,59000
ITRC20140812-02,Smiley Middle School,CO,Education,Yes - Unknown #,Unknown
ITRC20140807-01,Weber State University,UT,Education,Yes - Published #,1200
ITRC20140729-16,Douglas County Schools,CO,Education,Yes - Unknown #,Unknown
ITRC20140729-15,Baltimore School of Massage,MD,Education,Yes - Published #,683
ITRC20140729-12,Buncombe County Schools,NC,Education,Yes - Published #,170
ITRC20140715-03,Penn State College of Medicine,PA,Education,Yes - Published #,1176
