"Assigned_Breach_Number",Date_Reported_To_OCA,Organization_Name,"Breach_Type_Description","Breach_Occur_at_the_Reporting_Entity?","MA_Residents_Affected",SSN_Breached,"Account_Number_Breached","Drivers_Licenses_Breached","Credit_Debit_Numbers_Breached","Provided_Credit_Monitoring","Data_Encrypted","Mobile_Device_Lost_Stolen"
12436,2/2/2018,Midcap Financial Services LLC,Electronic,Yes,10,Yes,,,,Yes,,
12455,2/5/2018,Boston College,Electronic,Yes,1,Yes,,,,,,
12456,2/5/2018,Salem Five,Electronic,Yes,1,Yes,Yes,,,,,
12458,2/5/2018,"Housing Authority of the City of
Charlotte",Electronic,Yes,1,Yes,,,,Yes,,
12459,2/5/2018,Partners Healthcare Systems Inc,Electronic,Yes,30,Yes,Yes,,Yes,Yes,,
12460,2/5/2018,PAR Electrical Contractors Inc,Electronic,,320,Yes,Yes,Yes,,Yes,,
12443,2/5/2018,The Village Bank,Electronic,,16,,,,Yes,,,
12444,2/5/2018,The Village Bank,Electronic,,1,,,,Yes,,,
12445,2/5/2018,The Village Bank,Electronic,,2,,,,Yes,,,
12446,2/5/2018,Eagle Bank,Paper,,28,,,,Yes,,,
12447,2/5/2018,"Charles Komar & Sons, Inc.",Electronic,,3,,,,Yes,,,
12448,2/5/2018,Winchester Savings Bank,Electronic,,1,,,,Yes,Yes,,
12449,2/5/2018,Pilgrim Bank,Electronic,,15,,,,Yes,,,
12450,2/5/2018,Savers Bank,Electronic,,12,,,,Yes,,,
12451,2/5/2018,Savers Bank,Electronic,,4,,,,Yes,,,
12452,2/6/2018,"American Express Travel Related
Services Company, Inc. and/or its
Affiliates (""AXP"")",Both,,49,,,,Yes,,,
12453,2/6/2018,Citizens Financial Group,Electronic,Yes,2,,Yes,,,,,
12454,2/6/2018,"American Express Travel Related
Services Company, Inc. and/or its
Affiliates (""(AXP"")",Electronic,,106,,,,Yes,,,
12461,2/6/2018,US Trust,Paper,,2,Yes,,,,Yes,,
12462,2/7/2018,The Village Bank,Electronic,,1,,,,Yes,,,
12463,2/7/2018,The Village Bank,Electronic,,1,,,,Yes,,,
12465,2/7/2018,"XOS Technologies, Inc. d/b/a
XOS Digital, Inc.",Electronic,Yes,2,Yes,Yes,,,Yes,,
12469,2/7/2018,Abington Bank,Electronic,,15,,,,Yes,,,
12470,2/7/2018,Abington Bank,Electronic,,10,,,,Yes,,,
12472,2/7/2018,"Investment Professionals, Inc.",Electronic,Yes,6,Yes,Yes,Yes,,Yes,,
12473,2/8/2018,"American Express Travel Related
Services Company, Inc. and/or its
Affiliates (""AXP"")",Electronic,,5,,,,Yes,,,
12474,2/8/2018,"American Express Travel Related
Services Company, Inc. and/or its
Affiliates (""AXP"")",Electronic,,13,,,,Yes,,,
12475,2/8/2018,Fontainebleau Miami Beach,Electronic,Yes,8,,,,Yes,,,
12471,2/8/2018,Savers Bank,Electronic,,1,,,,Yes,,,
12466,2/8/2018,Daintree Advisors LLC,Electronic,,51,,Yes,,,,,
12467,2/8/2018,Sage Bank,Electronic,Yes,2,,Yes,,,Yes,,
12477,2/8/2018,Rockland Trust Company,Paper,,1,,Yes,,,Yes,,
12478,2/9/2018,"American Express Travel Related
Services Company Inc",Electronic,,1,,,,Yes,,,
12479,2/9/2018,Rockland Trust Company,Paper,Yes,1,,Yes,,,Yes,,
12480,2/9/2018,"Kinetics Systems, Inc.",Electronic,Yes,46,Yes,,,,Yes,,
12481,2/9/2018,Mutual One Bank,Electronic,,3,,,,,,,
12482,2/9/2018,Etsy Inc,Electronic,Yes,13,Yes,,,,Yes,,
12483,2/9/2018,One Main Financial,Electronic,Yes,1,,Yes,,,,,
12484,2/9/2018,Connecticut Airport Authority,Electronic,,9,,,Yes,,Yes,,
12468,2/9/2018,The Village Bank,Electronic,,25,,,,Yes,,,
12485,2/12/2018,St. Mary's Credit Union,Electronic,,35,,Yes,,,,,
12486,2/12/2018,Pilgrim Bank,Electronic,,1,,,,Yes,,,
12487,2/12/2018,"Goldman Sachs & Co, LLC",Electronic,,4,,Yes,,Yes,Yes,,
12488,2/12/2018,Valley of the Sun YMCA,Electronic,Yes,2,Yes,Yes,Yes,Yes,,,
12490,2/12/2018,"Executive Office of Health and
Human Services",Paper,Yes,1,Yes,,,,,,
12491,2/13/2018,"Corporate Employment
Resources Inc",Electronic,Yes,99,Yes,,,,Yes,,
12492,2/13/2018,Perry & Associates CPA'S AC,Electronic,,2,Yes,Yes,Yes,,Yes,,
12493,2/13/2018,"Central Islip Union Free School
District",Paper,Yes,1,Yes,,,,Yes,,
12494,2/13/2018,Cabot Risk Strategies LLC,Electronic,Yes,1,Yes,,,,Yes,,
12489,2/13/2018,Mutual One Bank,Electronic,,4,,,,Yes,,,
12510,2/14/2018,State Street,Electronic,,37,,Yes,,,,,
12511,2/14/2018,Citi,Electronic,Yes,1,Yes,,,Yes,Yes,,
12512,2/14/2018,"Norwich Commercial Group, Inc.
dba Norcom Mortgage",Electronic,,15,Yes,Yes,Yes,,,,
12507,2/14/2018,"Nantucket Bank a division of Blue
Hills Bank",Electronic,Yes,1,Yes,,Yes,,Yes,,
12508,2/14/2018,Palo Alto Unified School District,Electronic,,4,Yes,,,,Yes,,
12495,2/14/2018,Northeast Home Loan LLC,Electronic,,1,,Yes,,,Yes,,
12496,2/14/2018,The Village Bank,Electronic,,2,,,,Yes,,,
12497,2/14/2018,"American Express Travel Related
Services Company Inc",Electronic,,3,,,,Yes,,,
12498,2/14/2018,"Flexible Benefit Service
Corporation",Electronic,,32,Yes,,,,Yes,,
12500,2/14/2018,Savers Bank,Electronic,,4,,,,Yes,,,
12501,2/15/2018,"Webster Five Cents Savings
Bank",Electronic,,73,,,,Yes,,,
12502,2/15/2018,"Hobe & Lucas Certified Public
Accountants Inc",Electronic,,3,Yes,,,,Yes,,
12503,2/15/2018,Dollar General Corporation,Paper,Yes,1,Yes,,,,Yes,,
12504,2/15/2018,"LendKey Technologies, Inc.",Electronic,Yes,107,Yes,Yes,Yes,,Yes,,
12505,2/15/2018,"Novozymes US, Inc.",Electronic,Yes,1,Yes,Yes,,,Yes,,
12506,2/15/2018,"Honda North America, Inc.",Paper,Yes,23,,Yes,,,Yes,,
12516,2/15/2018,Fidelity Investments,Electronic,,1,Yes,Yes,,,Yes,,
12509,2/16/2018,Winchester Savings Bank,Electronic,,9,,,,Yes,,,
12513,2/16/2018,Jemison Internal Medicine PC,Electronic,Yes,3,Yes,,Yes,,Yes,,
12514,2/16/2018,"Navistar, Inc.",Paper,,4,Yes,,,,Yes,,
12515,2/16/2018,Mutual One Bank,Electronic,,26,,,,Yes,,,
12518,2/16/2018,Thomas Edison State University,Electronic,Yes,4,Yes,,,,Yes,,
12517,2/19/2018,"Cascade Healthcare Services
LLC",Electronic,Yes,1,Yes,Yes,Yes,,Yes,,
12520,2/20/2018,Bialy Thomas & Associates,Electronic,,1,Yes,,Yes,,Yes,,
12521,2/20/2018,Autoliv ASP Inc,Electronic,,1,,,,,Yes,,
12525,2/20/2018,Los Angeles Philharmonic,Electronic,,4,Yes,,,,Yes,,
12523,2/20/2018,Salem Five Bank,Electronic,Yes,1,Yes,Yes,,,,,
12524,2/21/2018,Rockland Trust Company,Paper,,1,,Yes,,,Yes,,
12526,2/21/2018,MassMutual,Electronic,Yes,17,Yes,Yes,,,,,
12527,2/21/2018,Rockland Trust Company,Paper,Yes,1,,Yes,,,Yes,,
12528,2/21/2018,BioAxone BioSciences Inc.,Electronic,,2,,Yes,,,,,
12529,2/21/2018,PACCAR Financial,Electronic,,1,,,,,,,
12530,2/21/2018,"Makeup Geek, LLC",Electronic,,45,,Yes,,Yes,,,
12522,2/21/2018,Compass Working Capital,Paper,,2,Yes,,,,Yes,,
12519,2/22/2018,"Commonwealth of MA-
Department of Revenue",Electronic,Yes,1,Yes,,,,,,
12531,2/22/2018,TrueNet Communications,Electronic,Yes,3,Yes,,Yes,,Yes,,
12532,2/22/2018,"American Express Travel Related
Services Company Inc",Electronic,,2,,,,Yes,,,
12534,2/22/2018,Fidelity Investments,Paper,,1,,Yes,,,Yes,,
12535,2/22/2018,Intuit Inc.,Electronic,Yes,2,Yes,Yes,Yes,,,,
12536,2/22/2018,Cormier & Rea Inc,Paper,Yes,3,Yes,,,,Yes,,
12537,2/23/2018,Transamerica,Electronic,,2196,Yes,Yes,,,Yes,,
12538,2/23/2018,AnnieMac Home Mortgage,Electronic,Yes,56,Yes,Yes,,,Yes,,
12539,2/23/2018,Dedham Savings,Paper,Yes,1,Yes,Yes,,,,,
12540,2/23/2018,North 40 Outfitters,Electronic,Yes,116,,,,Yes,Yes,,
12541,2/23/2018,Winchester Savings Bank,Electronic,Yes,3,,,,Yes,,,
12542,2/23/2018,ACTIVE Network,Electronic,Yes,5,,,,Yes,,,
12533,2/23/2018,Musicians on Call,Undefined,,2,Yes,,Yes,,,,
12543,2/26/2018,St. Mary's Credit Union,Electronic,,1,,Yes,,,,,
12544,2/26/2018,Santa Cruz Biotechnology Inc,Electronic,Yes,8,Yes,,,,Yes,,
12545,2/26/2018,"University Of Wisconsin-Superior
Alumni Association",Paper,Yes,15,Yes,,,,Yes,,
12546,2/26/2018,"American Express Travel Related
Services Company Inc",Paper,,1,,,,Yes,,,
12547,2/26/2018,Bed Bath & Beyond Inc,Paper,Yes,4,,,,Yes,Yes,,
12548,2/26/2018,"Laufer Group International
Limited",Electronic,Yes,5,Yes,,,,Yes,,
12549,2/26/2018,MoneyGram International Inc,Paper,,5,Yes,,,,Yes,,
12554,2/26/2018,"American General Life Insurance
Company",Electronic,Yes,15,Yes,,,,Yes,,
12555,2/26/2018,"The United States Life Insurance
Company",Electronic,Yes,2,Yes,,,,Yes,,
12556,2/27/2018,Eastern Bank,Electronic,,1643,,Yes,,Yes,,,
12557,2/27/2018,Cruzstar LLC,Electronic,Yes,904,,,,Yes,,,
12558,2/27/2018,"MassMutual Life Insurance
Company",Electronic,Yes,2,Yes,,,,Yes,,
12559,2/27/2018,Discover,Electronic,,188,,,,Yes,,,
12560,2/27/2018,Bank of America,Paper,,1,Yes,Yes,,,Yes,,
12561,2/27/2018,ALCOVA Mortgage Inc,Electronic,Yes,1,Yes,Yes,Yes,Yes,Yes,,
12562,2/27/2018,"Servis One, Inc. dba BSI
Financial Services",Electronic,,6,,Yes,,,Yes,,
12563,2/27/2018,Capital One,Paper,Yes,1,,Yes,,,Yes,,
12564,2/27/2018,Metro Wire Rope Corporation,Electronic,Yes,2,,,,Yes,Yes,,
12565,2/27/2018,Stonehill College,Electronic,Yes,7,Yes,Yes,,,Yes,,
12566,2/27/2018,CVS Health,Paper,,6,,,,,,,
12567,2/27/2018,FastHealth Corporation,Electronic,,453,Yes,Yes,Yes,Yes,Yes,,
12550,2/27/2018,St. Mary's Credit Union,Electronic,,1,,Yes,,,,,
12551,2/27/2018,The Village Bank,Electronic,,4,,,,Yes,,,
12553,2/27/2018,Steward Medical Group,Paper,Yes,1,,,,,Yes,,
12568,2/28/2018,"IKEA North America Services,
LLC",Paper,Yes,1,Yes,,,,Yes,,
12569,2/28/2018,St. Mary's Credit Union,Electronic,,3,,Yes,,,,,
12570,2/28/2018,The Kraft Heinz Company,Electronic,Yes,2,Yes,,,,Yes,,
12571,2/28/2018,The Renaissance Companies,Paper,,4,Yes,,,,Yes,,
12572,2/28/2018,Nelnet Inc.,Electronic,,2,,Yes,,,,,
12573,2/28/2018,"St. Peter's Ambulatory Surgery
Center d/b/a St. Peter's Surgery
& Endoscopy Center",Electronic,,50,Yes,,,,Yes,,
12574,2/28/2018,The Village Bank,Electronic,,5,,,,Yes,,,
12622,2/28/2018,The Village Bank,Electronic,,1,,,,Yes,,,
12575,3/1/2018,"The Vanguard Group, Inc.",Electronic,Yes,2,,Yes,,,Yes,,
12576,3/1/2018,Trustees of Boston University,Paper,Yes,1,Yes,,,,Yes,,
12577,3/1/2018,Eagle Bank,Paper,,2,,,,Yes,,,
12578,3/1/2018,Watertown Savings Bank,Electronic,,24,,,,Yes,,,
12579,3/1/2018,ECP PF Holdings LLC,Electronic,Yes,2,Yes,,,,Yes,,
12580,3/1/2018,Ventiv Technology Inc.,,,2,Yes,,,,Yes,,
12581,3/2/2018,"American Express Travel Related
Services Co Inc",Electronic,,1,,,,Yes,Yes,,
12582,3/2/2018,"American Express Travel Related
Services Co Inc",Electronic,,391,,,,Yes,,,
12583,3/2/2018,GAP Inc,Paper,,17,,,,Yes,,,
12614,3/2/2018,Winchester Savings Bank,Electronic,,6,,,,Yes,,,
12586,3/2/2018,Firstmark Services,Electronic,Yes,1,,Yes,,,,,
12587,3/2/2018,Behavioral Health Network Inc,Electronic,Yes,25,,,,,,,
12588,3/2/2018,Centris Federal Credit Union,Electronic,,3,Yes,,,,Yes,,
12591,3/2/2018,Fairchild Maddox & Leonidas,Electronic,Yes,6,Yes,Yes,,,Yes,,
12592,3/2/2018,"Automatic Rolls of New England-
Northeast Foods Inc",Electronic,,64,Yes,,,,Yes,,
12593,3/5/2018,Citizens Financial Group,Electronic,,3,,,,Yes,Yes,,
12594,3/5/2018,The Vanguard Group Inc,Electronic,,1,,Yes,,,,,
12595,3/5/2018,Intuit,Electronic,,7,Yes,Yes,Yes,,Yes,,
12589,3/5/2018,Pilgrim Bank,Electronic,,1,,,,Yes,,,
12590,3/5/2018,Pilgrim Bank,Electronic,,1,,,,Yes,,,
12596,3/6/2018,Intuit Inc,Electronic,,6,Yes,Yes,Yes,,Yes,,
12597,3/6/2018,"The Variable Annuity Life
Insurance Co",Electronic,Yes,1,Yes,,,,Yes,,
12598,3/6/2018,Rockland Trust Co,Paper,,2,,Yes,,,Yes,,
12599,3/6/2018,St. Mary's Credit Union,Electronic,,1,,Yes,,,,,
12600,3/6/2018,ISS Solutions Inc,Electronic,Yes,49,Yes,,Yes,,Yes,,
12601,3/6/2018,Principal Financial Group,Electronic,,3,Yes,Yes,,,Yes,,
12603,3/6/2018,Interstate Plastics Inc,Electronic,,25,,,,Yes,,,
12604,3/6/2018,"California State University,
Fresno",Electronic,Yes,23,Yes,Yes,Yes,,Yes,,
12605,3/7/2018,Chopra Enterprises LLC,Electronic,Yes,17,,,,Yes,,,
12606,3/7/2018,Savers Bank,Electronic,,1,,,,Yes,,,
12607,3/7/2018,Williams-Sonoma Inc,Electronic,Yes,1,,,,Yes,,,
12602,3/7/2018,St. Mary's Credit Union,Electronic,,4,,Yes,,,,,
12613,3/7/2018,St. Elizabeth's Medical Center,Paper,Yes,1,,,,,Yes,,
12608,3/8/2018,"Webster Five Cents Savings
Bank",Electronic,,115,,,,Yes,,,
12609,3/8/2018,"Mount Kellett Capital
Management LP",Electronic,,2,,,Yes,,Yes,,
12610,3/8/2018,Village Mortgage Company,Electronic,Yes,10,Yes,Yes,Yes,,Yes,,
12611,3/9/2018,Pilgrim Bank,Electronic,Yes,1,,,,Yes,,,
12612,3/9/2018,FTI Consulting,Paper,Yes,1,Yes,,,,Yes,,
12623,3/9/2018,Nova Southeastern University,Electronic,Yes,1,Yes,,,,Yes,,
12624,3/9/2018,Hudson River Healthcare Inc,Electronic,Yes,3,Yes,,Yes,,Yes,,
12615,3/9/2018,The Village Bank,Electronic,,1,,,,Yes,,,
12616,3/9/2018,Preferred Hotels & Resorts,Electronic,,126,,,Yes,Yes,,,
12617,3/9/2018,The Village Bank,Electronic,,1,,,,Yes,,,
12618,3/9/2018,The Village Bank,Electronic,,1,,,,Yes,,,
12619,3/9/2018,The Village Bank,Electronic,,11,,,,Yes,,,
12620,3/9/2018,Quanta Technology LLC,Electronic,Yes,6,Yes,,,,Yes,,
12621,3/9/2018,Bryn Mawr,Electronic,Yes,1,Yes,Yes,,,Yes,,
12626,3/12/2018,"Atwood & Moore-Attorneys at
Law",Electronic,Yes,1,Yes,Yes,,,Yes,,
