organization,state,date,type,industry,records
City of Longmont,CO,1/29/2019,Electronic,Government/Military,Unknown
Pharmaca Integrative Pharmacy Inc.,CO,1/18/2019,Electronic,Medical/Healthcare,Unknown
Northern Colorado Long Term Acute,CO,1/15/2019,Electronic,Medical/Healthcare,Unknown
AeroGrow International Inc. (reported,CO,1/4/2019,Electronic,Business,27488
"Critical Care, Pulmonary and Sleep",CO,1/21/2019,Electronic,Medical/Healthcare,23377
Canyon Bakehouse LLC,CO,1/9/2019,Electronic,Business,11976
Centura Health (reported on 5/22/2019),CO,1/22/2019,Electronic,Medical/Healthcare,7515
Northern Colorado Rehabilitation,CO,1/15/2019,Electronic,Medical/Healthcare,7037
Fellowship of Catholic University,CO,1/29/2019,Electronic,Business,1777
Breckenridge Grand Vacations,CO,1/10/2019,Electronic,Business,1455
Rocky Mountain Health Care Services,CO,1/11/2019,Electronic,Medical/Healthcare,971
West Hartford Public Schools (Total,CT,1/15/2019,Electronic,Education,Unknown
Carecentrix (service provider American,CT,1/14/2019,Electronic,Medical/Healthcare,500000
UConn Health,CT,1/21/2019,Electronic,Medical/Healthcare,326629
Stanwich Mortgage Loan Trust /,CT,1/12/2019,Electronic,Banking/Credit/Financial,53829
Hartford Financial Services Group Inc.,CT,1/12/2019,Electronic,Business,43000
Southeastern Council on Alcoholism,CT,1/1/2019,Electronic,Medical/Healthcare,25148
"Dr. DeLuca, Dr. Marciano & Associates",CT,1/25/2019,Electronic,Medical/Healthcare,23578
Women's Health USA Inc.,CT,1/29/2019,Electronic,Business,17531
United Seating and Mobility LLC dba,CT,1/9/2019,Paper Data,Medical/Healthcare,3578
Aetna (reported on 1/30/2019),CT,1/30/2019,Electronic,Medical/Healthcare,2030
"Capital Asset Management Group, Inc.",DC,1/26/2019,Electronic,Banking/Credit/Financial,Unknown
B'nai B'rith Youth Organization,DC,1/22/2019,Electronic,Business,Unknown
VoterVoice,DC,1/5/2019,Electronic,Business,Unknown
U.S. Customs and Border Protection,DC,1/10/2019,Electronic,Government/Military,Unknown
Federal Emergency Management,DC,1/15/2019,Electronic,Government/Military,2300000
Union Labor Life Insurance Company,DC,1/31/2019,Electronic,Medical/Healthcare,87400
American Councils for International,DC,1/23/2019,Electronic,Education,208
"Lewes Board of Public Works (""Lewes",DE,1/30/2019,Electronic,Business,Unknown
Delaware Life Insurance Company,DE,1/21/2019,Electronic,Business,Unknown
Wilmington University (third-party,DE,1/24/2019,Electronic,Education,Unknown
Delaware Department of Insurance,DE,1/26/2019,Electronic,Government/Military,95000
Delaware Guidance Services for,DE,1/26/2019,Electronic,Medical/Healthcare,50000
Medical Oncology Hematology,DE,1/26/2019,Electronic,Medical/Healthcare,8591
"Earl Enterprises - Buca di Beppo, Earl",FL,1/29/2019,Electronic,Business,Unknown
Stevens Powell & Company PA,FL,1/8/2019,Electronic,Business,Unknown
"Annette Willis Insurance Agency, LLC",FL,1/17/2019,Electronic,Business,Unknown
"Citrix Systems, Inc - current and",FL,1/29/2019,Electronic,Business,Unknown
Main Street America Group (third-party,FL,1/6/2019,Electronic,Business,Unknown
Checkers and Rally's,FL,1/29/2019,Electronic,Business,Unknown
"Prida, Guida and Perez, PA",FL,1/28/2019,Electronic,Business,Unknown
"Timepieces International, Inc.",FL,1/7/2019,Electronic,Business,Unknown
Chipola College,FL,1/8/2019,Electronic,Education,Unknown
City of Winter Park,FL,1/2/2019,Electronic,Government/Military,Unknown
Tech Data Corporation,FL,1/6/2019,Electronic,Business,Unknown
BioReference Laboratories subsidiary,FL,1/6/2019,Electronic,Medical/Healthcare,422600
AdventHealth Medical Group -,FL,1/29/2019,Electronic,Medical/Healthcare,42161
"Gulf Coast Pain Consultants, LLC d/b/a",FL,1/5/2019,Electronic,Medical/Healthcare,35000
Key West Hotels LLC,FL,1/2/2019,Electronic,Business,18000
"Capital City Bank Group, Inc.",FL,1/22/2019,Electronic,Banking/Credit/Financial,11011
International Vapor Group,FL,1/12/2019,Electronic,Business,7656
Aspire Financial Services LLC,FL,1/8/2019,Electronic,Banking/Credit/Financial,6431
"FABEN Obstetrics and Gynecology,",FL,1/14/2019,Electronic,Medical/Healthcare,6092
Nova Southeastern University,FL,1/25/2019,Electronic,Education,4681
Florida Keys Community College,FL,1/28/2019,Electronic,Education,4492
City of Pompano Beach (Click2Gov),FL,1/23/2019,Electronic,Government/Military,3790
Kids Central Inc.,FL,1/15/2019,Electronic,Business,3250
"USR Holdings, LLC",FL,1/8/2019,Electronic,Medical/Healthcare,2903
"Sunshine State Health Plan, Inc.",FL,1/7/2019,Electronic,Medical/Healthcare,2000
Florida Hometown Title & Escrow,FL,1/4/2019,Electronic,Business,1823
Dermacare Brickell,FL,1/7/2019,Paper Data,Medical/Healthcare,1800
All Florida Orthopaedics,FL,1/14/2019,Electronic,Medical/Healthcare,1700
Episcopal Children's Services,FL,1/3/2019,Electronic,Business,1632
Professional Dental Alliance of Florida,FL,1/13/2019,Electronic,Medical/Healthcare,1505
Rosenbaum Dental Group,FL,1/4/2019,Electronic,Medical/Healthcare,1200
National Aviation Academy,FL,1/20/2019,Electronic,Education,1011
"Tower Imaging, LLC",FL,1/16/2019,Electronic,Medical/Healthcare,810
The City of Fort Lauderdale,FL,1/29/2019,Electronic,Government/Military,757
"Ryder System, Inc.",FL,1/28/2019,Electronic,Business,729
"Communities Connected for Kids, Inc.",FL,1/14/2019,Electronic,Business,501
"Communities Connected for Kids, Inc.",FL,1/14/2019,Electronic,Business,501
"Nortrax, Inc.",FL,1/14/2019,Electronic,Business,64
United Way of the Big Bend,FL,1/19/2019,Electronic,Business,64
Cornerstone Bank (reported on,GA,1/3/2019,Electronic,Banking/Credit/Financial,Unknown
Huddle House credit card processor,GA,1/1/2019,Electronic,Business,Unknown
Corporate Environmental Risk,GA,1/18/2019,Electronic,Business,Unknown
HawksShop.com,GA,1/23/2019,Electronic,Business,Unknown
American Cancer Society,GA,1/1/2019,Electronic,Medical/Healthcare,Unknown
Southside Medical Clinic,GA,1/18/2019,Paper Data,Medical/Healthcare,Unknown
Georgia Tech (reported on 4/2/2019),GA,1/2/2019,Electronic,Education,1300000
Navicent Health,GA,1/22/2019,Electronic,Medical/Healthcare,278016
EyeSouth Partners / Georgia Eye,GA,1/23/2019,Electronic,Medical/Healthcare,24113
Cancer Treatment Centers of America,GA,1/10/2019,Electronic,Medical/Healthcare,16819
Monroe County Hospital (vendor,GA,1/25/2019,Electronic,Medical/Healthcare,10970
DeKalb County Schools,GA,1/4/2019,Electronic,Education,3000
North Atlanta Medical Clinic,GA,1/6/2019,Electronic,Medical/Healthcare,2800
"OneDigital/Digital Insurance, LLC",GA,1/15/2019,Electronic,Business,2763
"L anier Family & Cosmetic Dentistry,",GA,1/29/2019,Electronic,Medical/Healthcare,1950
"Lanier Family & Cosmetic Dentistry,",GA,1/29/2019,Electronic,Medical/Healthcare,1950
H Carson Smith IV PC,GA,1/10/2019,Electronic,Business,1465
Volcano Fine Electronic Cigarettes,HI,1/16/2019,Electronic,Business,1998
American State Bank,IA,1/26/2019,Electronic,Banking/Credit/Financial,Unknown
First Iowa Insurance Agency Inc,IA,1/23/2019,Electronic,Business,Unknown
TaxAct Inc.,IA,1/26/2019,Electronic,Business,Unknown
Graceland University,IA,1/14/2019,Electronic,Education,Unknown
Southern Hills Eye Care,IA,1/15/2019,Electronic,Medical/Healthcare,11617
Grinnell College,IA,1/25/2019,Electronic,Education,3261
"Amerigroup Iowa, Inc. (reported on",IA,1/29/2019,Paper Data,Medical/Healthcare,1191
"Amerigroup Iowa, Inc.",IA,1/29/2019,Paper Data,Medical/Healthcare,1191
University of Iowa Hospitals & Clinics,IA,1/25/2019,Electronic,Medical/Healthcare,950
Debco Construction,ID,1/28/2019,Electronic,Business,Unknown
Southwest Idaho Advanced Care,ID,1/15/2019,Electronic,Medical/Healthcare,Unknown
Northern Idaho Advanced Care,ID,1/15/2019,Electronic,Medical/Healthcare,7037
Blue Cross of Idaho Health Service Inc.,ID,1/12/2019,Electronic,Medical/Healthcare,6045
Bodybuilding.com,ID,1/19/2019,Electronic,Business,3193
Idaho Department of Health and,ID,1/9/2019,Electronic,Government/Military,2060
Discover (reported on 1/23/2019),IL,1/23/2019,Electronic,Banking/Credit/Financial,Unknown
Spectrum Business Resources LLC,IL,1/20/2019,Electronic,Banking/Credit/Financial,Unknown
Zurich American Insurance Company,IL,1/21/2019,Electronic,Business,Unknown
"Allen Chern LLP (""UpRight Law"")",IL,1/28/2019,Electronic,Business,Unknown
Papa Del's,IL,1/15/2019,Electronic,Business,Unknown
Wyzant,IL,1/7/2019,Electronic,Business,Unknown
White Sox,IL,1/7/2019,Electronic,Business,Unknown
Country Financial (reported on,IL,1/7/2019,Paper Data,Business,Unknown
State Farm Mutual Automobile,IL,1/8/2019,Electronic,Business,Unknown
Augustana College,IL,1/1/2019,Electronic,Education,Unknown
Illinois Department of Natural,IL,1/29/2019,Electronic,Government/Military,Unknown
Advocate Sherman Hospital,IL,1/13/2019,Electronic,Medical/Healthcare,Unknown
Sparta Community Hospital (service,IL,1/3/2019,Electronic,Medical/Healthcare,Unknown
Quantum Vision Centers and Eye,IL,1/24/2019,Electronic,Medical/Healthcare,Unknown
University of Chicago Medicine,IL,1/3/2019,Electronic,Medical/Healthcare,Unknown
Medical Professional Home Healthcare,IL,1/17/2019,Paper Data,Medical/Healthcare,Unknown
"DiGiovine, Hnilo, Jordan + Johnson",IL,1/16/2019,Electronic,Business,Unknown
Manning Silverman & Company,IL,1/6/2019,Electronic,Business,Unknown
Rush University Medical Center,IL,1/28/2019,Electronic,Medical/Healthcare,44924
Abbott - employees,IL,1/6/2019,Electronic,Medical/Healthcare,16600
Midwest Medical Center (service,IL,1/3/2019,Electronic,Medical/Healthcare,8010
Phillip Capital,IL,1/28/2019,Electronic,Banking/Credit/Financial,7043
Center for Sight & Hearing,IL,1/18/2019,Electronic,Medical/Healthcare,5319
Delta Dental of Illinois (reported on,IL,1/16/2019,Electronic,Medical/Healthcare,5092
Lutheran Life Communities,IL,1/28/2019,Electronic,Business,4794
Marquette Management,IL,1/7/2019,Electronic,Business,1917
City of DeKalb,IL,1/24/2019,Electronic,Government/Military,1091
Rush University Medical Center,IL,1/11/2019,Paper Data,Medical/Healthcare,908
Health Care Service Corporation,IL,1/24/2019,Electronic,Medical/Healthcare,676
American Rental Association,IL,1/6/2019,Electronic,Business,641
Lynette Arce,IL,1/14/2019,Electronic,Business,143
OneMain Financial (reported on,IN,1/21/2019,Electronic,Banking/Credit/Financial,Unknown
OneMain Financial (reported on,IN,1/12/2019,Electronic,Banking/Credit/Financial,Unknown
"Katz, Sapper, & Miller (file sharing",IN,1/8/2019,Electronic,Business,Unknown
Pacers Sports & Entertainment,IN,1/10/2019,Electronic,Business,Unknown
Talley Medical Surgical Eyecare,IN,1/24/2019,Electronic,Medical/Healthcare,106000
"LCP Transportation, Inc",IN,1/15/2019,Electronic,Business,54528
Valley Professionals Community,IN,1/25/2019,Electronic,Medical/Healthcare,12029
Lafayette Regional Rehabilitation,IN,1/15/2019,Electronic,Medical/Healthcare,7037
Community Health Network (reported,IN,1/6/2019,Electronic,Medical/Healthcare,3600
"DEFENDERS, Inc.",IN,1/29/2019,Electronic,Business,3382
Franciscan Health (reported on,IN,1/25/2019,Electronic,Medical/Healthcare,2180
Ricker's,IN,1/25/2019,Electronic,Business,2070
Centurion Land Title,IN,1/2/2019,Electronic,Business,1246
"Youth Opportunity Center, Inc.",IN,1/14/2019,Paper Data,Medical/Healthcare,1150
Managed Health Services (reported,IN,1/8/2019,Paper Data,Medical/Healthcare,576
Roll20.net,KS,1/14/2019,Electronic,Business,Unknown
AG Source Inc.,KS,1/22/2019,Electronic,Business,Unknown
Valley Hope Association (reported on,KS,1/18/2019,Electronic,Medical/Healthcare,70799
Anesthesia Associates of Kansas City,KS,1/1/2019,Paper Data,Medical/Healthcare,3472
Sunflower State Health Plan,KS,1/25/2019,Paper Data,Medical/Healthcare,1625
"Kentucky Counseling Center, LLC",KY,1/11/2019,Electronic,Medical/Healthcare,16440
Hopkins County Schools,KY,1/10/2019,Electronic,Education,7000
"Hospice Care Plus, Inc.",KY,1/6/2019,Electronic,Medical/Healthcare,2000
Humana (reported on 2/27/2019),KY,1/27/2019,Electronic,Medical/Healthcare,1447
Humana Inc. (reported on 1/9/2019),KY,1/9/2019,Electronic,Medical/Healthcare,1211
Humana Inc (reported on 6/3/2019),KY,1/3/2019,Electronic,Medical/Healthcare,863
Humana Inc (reported on 6/3/2019),KY,1/3/2019,Electronic,Medical/Healthcare,863
Humana Inc. (reported on 1/15/2019),KY,1/15/2019,Electronic,Medical/Healthcare,598
JD Bank,LA,1/17/2019,Electronic,Banking/Credit/Financial,Unknown
Calcasieu Refining Company,LA,1/10/2019,Electronic,Business,Unknown
"The National World War II Museum, Inc.",LA,1/21/2019,Electronic,Business,2285
Madison Parish Hospital,LA,1/18/2019,Electronic,Medical/Healthcare,1436
Hartwig Moss Insurance Agency,LA,1/20/2019,Electronic,Business,1100
John Hancock Financial Network,MA,1/21/2019,Electronic,Banking/Credit/Financial,Unknown
Wingate Wealth Advisors,MA,1/10/2019,Electronic,Banking/Credit/Financial,Unknown
Care.com (reported on 4/24/2019),MA,1/24/2019,Electronic,Business,Unknown
Attunity,MA,1/28/2019,Electronic,Business,Unknown
Massachusetts Mutual Life Insurance,MA,1/4/2019,Electronic,Business,Unknown
Wentworth Institute of Technology,MA,1/19/2019,Electronic,Education,Unknown
Charles River Laboratories,MA,1/30/2019,Electronic,Medical/Healthcare,Unknown
Doctors Management Service Inc.,MA,1/22/2019,Electronic,Medical/Healthcare,206695
Baystate Health (reported on 4/5/2019),MA,1/5/2019,Electronic,Medical/Healthcare,11658
Massachusetts Department of,MA,1/28/2019,Electronic,Government/Military,7202
Emerson Hospital (business associate,MA,1/8/2019,Electronic,Medical/Healthcare,6314
"Tufts Benefit Administrators, Inc. dba",MA,1/1/2019,Electronic,Medical/Healthcare,4913
Umass Memorial Community Healthlink,MA,1/17/2019,Electronic,Medical/Healthcare,4598
Worcester Eye Consultants,MA,1/7/2019,Electronic,Medical/Healthcare,2634
"RSC Insurance Brokerage, Inc.",MA,1/6/2019,Electronic,Business,2088
Father Bill's & MainSpring,MA,1/2/2019,Electronic,Business,1446
Blue Cross Blue Shield of,MA,1/15/2019,Electronic,Medical/Healthcare,1262
"dataxu, Inc.",MA,1/17/2019,Electronic,Business,494
"Enservio, Inc.",MA,1/9/2019,Electronic,Business,490
Town of Concord - Concord Police,MA,1/7/2019,Electronic,Government/Military,327
"Johnny Appleseed's, Inc.",MA,1/8/2019,Electronic,Business,179
BJ's Wholesale Club,MA,1/2/2019,Electronic,Business,71
Robert Wilson & Company Inc.,MA,1/19/2019,Electronic,Business,10
Paramount Insurance Company,MD,1/26/2019,Electronic,Business,Unknown
Banner Life Insurance Company,MD,1/19/2019,Electronic,Business,Unknown
Access Intelligence LLC,MD,1/5/2019,Electronic,Business,Unknown
Urban One Inc.,MD,1/5/2019,Electronic,Business,18012
"T akai, Hoover, and Hsu, P.A.",MD,1/29/2019,Electronic,Medical/Healthcare,16542
"Takai, Hoover, and Hsu, P.A.",MD,1/29/2019,Electronic,Medical/Healthcare,16542
"Takai, Hoover, and Hsu, P.A.",MD,1/29/2019,Electronic,Medical/Healthcare,16542
"Green Ridge Behavioral Health, LLC",MD,1/11/2019,Electronic,Medical/Healthcare,14000
Wor-Wic Community College,MD,1/19/2019,Electronic,Education,10682
Capitol Cardiology Associates (third-,MD,1/7/2019,Electronic,Medical/Healthcare,1980
Southern Maryland Medical Group LLC,MD,1/7/2019,Electronic,Medical/Healthcare,1400
Facility Site Contractors Inc./Total Site,MD,1/3/2019,Electronic,Business,780
Frederick Memorial Hospital,MD,1/18/2019,Electronic,Medical/Healthcare,760
"Arthritis & Rheumatism Associates,",MD,1/1/2019,Electronic,Medical/Healthcare,500
Burt Wealth Advisors,MD,1/22/2019,Electronic,Banking/Credit/Financial,410
"Grimm and Parker Architecture, Inc.",MD,1/15/2019,Electronic,Business,103
"Scott Associates, CPA's",ME,1/25/2019,Electronic,Business,Unknown
Community Concepts,ME,1/6/2019,Electronic,Business,Unknown
Raffle Brothers dba Arby's,ME,1/21/2019,Electronic,Business,11578
Town & Country Federal Credit Union,ME,1/1/2019,Electronic,Banking/Credit/Financial,2030
"John F. Murphy Homes, Inc.",ME,1/11/2019,Paper Data,Business,853
Maine Maritime Academy,ME,1/24/2019,Electronic,Education,696
Northern Light Acadia Hospital,ME,1/18/2019,Electronic,Medical/Healthcare,300
Saline Picture Frame Company,MI,1/31/2019,Electronic,Business,Unknown
"Dawn Food Products, Inc.",MI,1/24/2019,Electronic,Business,Unknown
Micro-Mom Scooters LLC dba Micro,MI,1/27/2019,Electronic,Business,Unknown
Detroit Fire Department,MI,1/3/2019,Paper Data,Government/Military,Unknown
McLaren Health Care (subcontractor,MI,1/27/2019,Electronic,Medical/Healthcare,Unknown
Three Rivers Health (subcontractor,MI,1/28/2019,Electronic,Medical/Healthcare,Unknown
Spectrum Health Lakeland,MI,1/14/2019,Electronic,Medical/Healthcare,Unknown
Health Alliance Plan (subcontractor,MI,1/7/2019,Electronic,Medical/Healthcare,120344
Jackson National Life Insurance,MI,1/31/2019,Electronic,Banking/Credit/Financial,31170
North Ottawa Community Health,MI,1/6/2019,Electronic,Medical/Healthcare,15000
"David E. Beneson, DPM",MI,1/29/2019,Electronic,Medical/Healthcare,12542
Mary Free Bed Rehabilitation Hospital,MI,1/4/2019,Electronic,Medical/Healthcare,4755
Kent County Commmunity Medical,MI,1/9/2019,Electronic,Medical/Healthcare,2284
Sacred Heart Rehabilitation Center,MI,1/9/2019,Electronic,Medical/Healthcare,2266
Spectrum Health Lakeland (service,MI,1/9/2019,Electronic,Medical/Healthcare,1100
Mercy Health Saint Mary's,MI,1/24/2019,Electronic,Medical/Healthcare,978
"Automated Pet Care Products, Inc.",MI,1/8/2019,Electronic,Business,181
Oliver Companies,MN,1/4/2019,Electronic,Business,Unknown
Dunn Brothers Coffee (POS vendor,MN,1/13/2019,Electronic,Business,Unknown
"North Country Business Products, Inc.",MN,1/15/2019,Electronic,Business,Unknown
Flywheel Exchange LLC,MN,1/12/2019,Electronic,Business,Unknown
