Date,City,State,Demand,Paid,Year
"Feb, 2018",Connecticut State Agencies,CT,"$48,000",N,2018
"Feb, 2018",Savannah (and Savannah PD),GA,Unknown,Y,2018
"Mar, 2018",Plymouth & Plymouth PD,CT,Unknown,N,2018
"Mar, 2018",Colorado Dept of Transportation,CO,Unknown,N,2018
"Mar, 2018",Atlanta (and Atlanta PD),GA,"$55,000",N,2018
"Mar, 2018",Portland,CT,"$2,000",N,2018
"Mar, 2018",Portland (II),CT,"$2,000",N,2018
"Mar, 2018",Connecticut Judicial Branch,CT,Unknown,N,2018
"Mar, 2018",Baltimore 911 System,MD,Unknown,N,2018
"Mar, 2018",Mississippi Valley State University,MS,Unknown,U,2018
"Mar, 2018","Leeds (City, FD and PD)",AL,"$8,000",Y,2018
"Apr, 2018",Dawson County,GA,Unknown,N,2018
"Apr, 2018",Ashland Community Library,ME,$400,N,2018
"Apr, 2018",Rockport,ME,"$1,000",N,2018
"Apr, 2018",Riverside FD & PD,OH,Unknown,N,2018
"Apr, 2018",Richmond,VA,Unknown,N,2018
"Apr, 2018",Leominster School District,MA,"$10,000",Y,2018
"May, 2018",Pasquotank,NC,"$2,500",N,2018
"May, 2018",Winder,GA,"$320,000",N,2018
"May, 2018",Riverside FD & PD,OH,Unknown,N,2018
"May, 2018",Roseburg Public Schools,OR,Unknown,N,2018
"Jun, 2018",Jefferson Village,OH,"$4,900",N,2018
"Jun, 2018",State Agencies,RI,Unknown,N,2018
"Jun, 2018",Middletown School District,CT,Unknown,U,2018
"Jul, 2018",Mat-Su,AK,"$400,000",N,2018
"Jul, 2018",Derby Police Dept,CT,Unknown,N,2018
"Jul, 2018",Valdez,AK,"$26,000",Y,2018
"Jul, 2018",Westmoreland County Housing Authority,PA,"$6,500",Y,2018
"Aug, 2018",Coweta County and Public Safety,GA,Unknown,N,2018
"Aug, 2018",Cloquet School District,MN,Unknown,N,2018
"Sep, 2018",Monroe County School District,FL,Unknown,N,2018
"Sep, 2018",Port of San Diego (Harbor and PD),CA,Unknown,N,2018
"Sep, 2018",Marblehead,MA,Unknown,N,2018
"Sep, 2018",Beatrice (and PD & FD),NE,Unknown,U,2018
"Oct, 2018",Onslow County Water and Sewer,NC,Unknown,N,2018
"Oct, 2018",Muscatine (City & PD),IA,Unknown,N,2018
"Oct, 2018",Madison County,ID,Unknown,N,2018
"Oct, 2018",Moultrie County,IL,Unknown,U,2018
"Oct, 2018",Crawford County,IL,Unknown,U,2018
"Oct, 2018",Indiana National Guard,IN,Unknown,U,2018
"Oct, 2018",West Haven,CT,"$2,000",Y,2018
"Nov, 2018",Rockaway Township PD,NJ,Unknown,U,2018
"Nov, 2018",Johannesburg-Lewiston School Distric,MI,Unknown,Y,2018
"Dec, 2018",North Bend (and PD),OR,"$50,000",N,2018
"Dec, 2018",Jupiter,FL,Unknown,N,2018
"Jan, 2019",Lamar County Sheriff's Dept,TX,Unknown,N,2019
"Jan, 2019",Salisbury PD,MD,Unknown,N,2019
"Jan, 2019",Akron,OH,Unknown,N,2019
"Jan, 2019",Sammamish,WA,Unknown,N,2019
"Jan, 2019",Bridgeport School Systems,CT,Unknown,U,2019
"Jan, 2019",Del Rio,TX,Unknown,U,2019
"Feb, 2019",Colchester,CT,Unknown,N,2019
"Feb, 2019",Mt Zion School District,IL,Unknown,N,2019
"Feb, 2019",Taos Municipal School District,NM,"$5,000",N,2018
"Mar, 2019",Committee for Public Counsel,MA,Unknown,N,2019
"Mar, 2019",Park Rapids School System,MN,Unknown,N,2019
"Mar, 2019",Orange County (and PD),NC,Unknown,N,2019
"Mar, 2019",Fisher County PD,TX,Unknown,N,2019
"Mar, 2019",Albany,NY,Unknown,U,2019
"Mar, 2019",Jackson County,GA,"$400,000",Y,2018
"Apr, 2019",Genessee County,MI,Unknown,N,2019
"Apr, 2019",Imperial County,CA,Unknown,N,2019
"Apr, 2019",Stuart,FL,Unknown,N,2019
"Apr, 2019",Greenville,NC,Unknown,U,2019
"Apr, 2019",Augusta,ME,Unknown,U,2019
"Apr, 2019",Garfield County,UT,Unknown,Y,2019
"June, 2019",lake city fl,FL,460000,Y,2018
"June, 2019",riviera beach fl,FL,600000,Y,2018
"May, 2019",baltimore,MD,75000,N,2018
"July, 2019",La Porte County, IN,130000,Y,2019
"July, 2019",Onondaga County, NY,Unknown,N,2019
"July, 2019",Collierville, TN,Unknown,U,2019
"July, 2019",Henry county, GA,Unknown,U,2019
"July, 2019",Syracuse, NY,Unknown,U,2019
"July, 2019",Lawrenceville, GA,Unknown,U,2019
"July, 2019",Blackshear, GA,Unknown,U,2019
"July, 2019",Morehouse, LA,Unknown,U,2019
"July, 2019",Sabine, LA,Unknown,U,2019
"July, 2019",Ouachita, LA,Unknown,U,2019
"July, 2019",Houston county,AL,Unknown,U,2019
"July, 2019",Vigo county, IN,Unknown,U,2019
"July, 2019",New Haven,CT,Unknown,U,2019
"July, 2019",Albany, NY,Unknown,U,2019
"July, 2019",Atlanta, GA,Unknown,U,2019
"July, 2019",Richmond Heights, GA,Unknown,U,2019
"July, 2019",Key Biscayne, FL,Unknown,U,2019
