Date,,City,State,Family,Demand,Attribution,Paid,Link,Date,City,State,Family,Demand,Attribution,Paid,Link
"Mar, 2017",Wood River Police Department,,IL,Unknown,Unknown,—,N,Source,"Jan, 2019",Akron,OH,Unknown,Unknown,—,N,Source
"Apr, 2017",Troup County (and PD),,GA,Unknown,"$39,600",Eastern Europe,N,Source,"Jan, 2019",Sammamish,WA,Unknown,Unknown,—,N,Source
"Apr, 2017",Perkin High School,,IL,Unknown,"$37,000",—,N,Source,"Jan, 2019",Bridgeport School Systems,CT,Unknown,Unknown,—,U,Source
"Apr, 2017",Forsyth Public Schools,,MT,Unknown,Unknown,—,N,Source,"Jan, 2019",Del Rio,TX,Unknown,Unknown,—,U,Source
"Apr, 2017",Newark,,NJ,SamSam,"$30,000",Iran,Y,Source,"Feb, 2019",Colchester,CT,Unknown,Unknown,—,N,Source
"May, 2017",Cook County,,IL,WannaCry,Unknown,North Korea,N,Source,"Feb, 2019",Mt Zion School District,IL,Unknown,Unknown,—,N,Source
"May, 2017",Murfreesboro PD & FD,,TN,WannaCry,Unknown,North Korea,N,Source,"Feb, 2019",Taos Municipal School District,NM,Unknown,"$5,000",—,N,Source
"Jun, 2017",Rensselaer County Library,,NY,WannaCry,Unknown,North Korea,N,Source,"Mar, 2019",Committee for Public Counsel,MA,Ryuk,Unknown,—,N,Source
"Jul, 2017",Marion County Fairgrounds,,IN,Unknown,"$1,000",—,N,Source,"Mar, 2019",Park Rapids School System,MN,Unknown,Unknown,—,N,Source
"Jul, 2017",Cape May County,,NJ,Unknown,Unknown,—,U,Source,"Mar, 2019",Orange County (and PD),NC,Unknown,Unknown,—,N,Source
"Jul, 2017",Brownsburg Public Library,,IN,Unknown,"$1,000",—,Y,Source,"Mar, 2019",Fisher County PD,TX,Unknown,Unknown,—,N,Source
"Aug, 2017",Iberia Parish Sheriff's Office,,LA,Unknown,Unknown,—,N,Source,"Mar, 2019",Albany,NY,Unknown,Unknown,—,U,Source
"Aug, 2017",Washington,,MO,Unknown,Unknown,—,N,Source,"Mar, 2019",Jackson County,GA,Ryuk,"$400,000",—,Y,Source
"Aug, 2017",Becker County,,MN,Unknown,Unknown,—,U,Source,"Apr, 2019",Genessee County,MI,Unknown,Unknown,—,N,Source
"Aug, 2017",Dorchester School District,,SC,Unknown,"$2,900",—,Y,Source,"Apr, 2019",Imperial County,CA,Ryuk,Unknown,—,N,Source
"Sep, 2017",St Johnsbury,,VT,Global 3,$250,—,N,Source,"Apr, 2019",Stuart,FL,Ryuk,Uknown,—,N,Source
"Sep, 2017",Butler County (and PD),,KS,Unknown,Unknown,—,U,Source,"Apr, 2019",Greenville,NC,RobinHood,Unknown,—,U,Source
"Sep, 2017",Indianhead Library System,,WI,Unknown,Unknown,—,U,Source,"Apr, 2019",Augusta,ME,Unknown,Unknown,—,U,Source
"Oct, 2017",Englewood,,CO,Unknown,Unknown,—,N,Source,"Apr, 2019",Garfield County,UT,Unknown,Unknown,—,Y,Source
"Oct, 2017",Topsham,,ME,Unknown,Unknown,—,N,Source,,,,,,,,
